city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
unnamed,12522,3.04040404040404,20.104393154279673,16.6521236227367,19532.231872693435,13628.02608441159,17,0,45,36,1.0,0.0,0.010101010101010102,0.0014752241468979923,0.6262626262626263,0.6476683937823834
unnamed,12560,2.4,7.6607332771871866,5.25307424721407,11992.961119112122,7697.154154211682,11,0,23,1,0.0,0.0,0.0,0.000995268267167994,0.9714285714285714,0.5230769230769231
unnamed,12564,2.303030303030303,11.642601521748759,6.7033160276735275,19402.151646974566,14398.881237384654,14,0,14,5,0.0,0.0,0.0,0.0008085768143930789,0.8484848484848485,0.29508196721311475
unnamed,12584,2.877551020408163,140.91908021775973,116.47393364937284,66798.41006344973,35208.97269891946,85,0,295,110,0.0,0.0,0.0,0.004002362733579115,0.7755102040816326,0.8574358974358974
unnamed,12599,2.7974358974358973,50.6677911180101,39.14844715442832,28219.726047606535,16347.251094983929,532,7,1205,595,1.0,0.0029914529914529917,0.00042735042735042735,0.003099468578760453,0.7445349335619375,0.751770006436387
unnamed,12605,2.6792452830188678,28.08286990519294,20.98267260840831,24664.89798051171,17941.97931064329,67,4,141,53,0.0,0.01509433962264151,0.0,0.0015652046755250694,0.7969348659003831,0.5299806576402321
unnamed,12614,2.825641025641026,42.15979322616986,33.511630513109374,33161.66336676333,19466.888003923537,40,2,106,46,1.0,0.010256410256410256,0.005128205128205128,0.002165718178358687,0.7564766839378239,0.7506561679790026
unnamed,12616,2.595,71.84436151711029,51.12923727967682,39630.764907278666,20474.696961875863,346,0,649,204,1.0,0.0,0.0008333333333333334,0.003508934058994151,0.8291666666666667,0.7269311064718162
unnamed,12617,2.5555555555555554,14.50889736217634,10.09683500642681,11696.467922064998,6987.174428312168,52,0,91,28,0.0,0.0,0.0,0.0020765042451761336,0.8362573099415205,0.5964391691394659
unnamed,12619,2.6077457795431975,35.03629106059145,25.74662898196393,22267.063684340825,12928.473164301615,267,1,601,136,2.0,0.0009930486593843098,0.0019860973187686196,0.0027100099613722706,0.8628230616302187,0.6731439960139511
unnamed,12622,2.477813504823151,61.982801051929464,42.37152251974342,28871.485412033515,15221.364584828114,492,0,892,170,1.0,0.0,0.0006430868167202572,0.00407209226915902,0.890032154340836,0.6695652173913044
unnamed,12627,2.81981981981982,18.20660864343336,14.27004461242074,20899.414776777016,12970.377500077837,24,0,60,26,1.0,0.0,0.009009009009009009,0.0014037069193494252,0.7567567567567568,0.7050691244239631
unnamed,12637,3.0,23.352271689310403,19.065381234267914,19054.0870829254,13007.722989026093,38,2,92,72,3.0,0.00966183574879227,0.014492753623188406,0.0017952620692346724,0.6341463414634146,0.6864197530864198
unnamed,12640,2.612403100775194,22.287182485077356,15.203659369665171,19318.82953203104,11059.723883771907,41,1,54,33,0.0,0.007751937984496124,0.0,0.002015166266291662,0.7421875,0.7171314741035857
unnamed,12683,2.669724770642202,36.2894615103046,26.96739800307039,24243.846616393213,13045.947217676545,56,0,123,38,1.0,0.0,0.0045871559633027525,0.0027816655168690523,0.8211009174311926,0.7517401392111369
unnamed,12877,2.8425022182786157,201.45859725386777,173.03631068477728,48636.57965276191,24856.13190538862,318,0,1656,279,1.0,0.0,0.00044365572315882877,0.008104985844969428,0.8757763975155279,0.891849877859205
unnamed,12983,2.865969397637033,176.79690978547632,147.4848519167241,41562.5724337525,22014.081754698465,856,2,3297,994,14.0,0.0003873716831299632,0.0027116017819097424,0.008031082638627094,0.8046890137570238,0.8865949403896481
unnamed,2551,2.5304347826086957,91.90367685251793,70.32629185236155,30510.134691754476,16190.010642959567,27,2,84,2,0.0,0.017391304347826087,0.0,0.005676566796605747,0.9823008849557522,0.6244343891402715
unnamed,2955,3.3793103448275863,331.8236667680171,330.7339338722272,81689.14470023148,40844.572350115755,2,0,372,235,0.0,0.0,0.0,0.008124057804392135,0.6141215106732348,1.1640560593569662
unnamed,3249,2.9177215189873418,292.17761682472445,269.06229903795827,111203.56284436444,55601.78142218223,25,0,267,24,0.0,0.0,0.0,0.0052548247439453575,0.9240506329113924,0.9202551834130781
