city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,9way_int_count,9way_int_prop,10way_int_count,10way_int_prop
tijuana,21,2.696794288178638,89.92864364435027,67.66043439155692,27534.644104839223,15774.773182185525,25838,483,58031,19499,465,25.0,3.0,1.0,0.004628875365374479,0.004456370693372945,0.0002395898222243519,2.875077866692223e-05,9.583592888974076e-06,0.005700788379379478,0.807504188249793,0.7267269724964976,0.0,0.0,0.0,0.0
tokushima,12881,2.7639985642498206,127.89372315438736,104.133615637281,33320.89690999942,17143.860824229905,6211,26,22702,4432,58,2.0,1.0,0.0,0.0007776980138789184,0.0017348648001914333,5.9822924144532185e-05,2.9911462072266092e-05,0.0,0.007460030413547893,0.865503203017422,0.8465430269283158,0.0,0.0,0.0,0.0
toluca,146,2.5671076609944854,301.6477880383293,215.8216997653831,61503.86597848733,34453.89382409526,12022,51,24439,5693,33,15.0,0.0,0.0,0.0012070148865169336,0.0007810096324521336,0.0003550043783873334,0.0,0.0,0.008755114576552519,0.8639637931851571,0.6576736691193024,0.0,0.0,0.0,0.0
toronto,875,2.955730435005511,53.01065261985156,46.48130997704859,21601.93306882858,12207.200859183873,9610,935,50941,16379,149,8.0,0.0,0.0,0.011983799441183256,0.0019097177719104867,0.00010253518238445566,0.0,0.0,0.0043425723252493165,0.7854891226795698,0.8150471236111021,0.0,0.0,0.0,0.0
torreon,126,3.0717131474103585,239.94984184103703,210.93019267234706,49004.689098201736,28744.145440528988,4007,29,18788,10212,84,11.0,0.0,0.0,0.000875286731860437,0.0025353132922854038,0.00033200531208499334,0.0,0.0,0.008347781371253079,0.6886082832371688,0.8227066056403982,1.0,3.018230109863576e-05,0.0,0.0
touba,1473,3.2003527792118396,372.2025298735493,370.08883455676613,79968.76131170789,40187.53304486642,132,0,18203,4899,8,2.0,0.0,0.0,0.0,0.00034417484081913615,8.604371020478404e-05,0.0,0.0,0.009261641650359892,0.7888057133023576,1.080545575801906,0.0,0.0,0.0,0.0
toyohashi,12949,3.1520854526958293,168.81535673635295,158.18100646068473,45137.6318223822,23749.39830069213,1610,26,16891,6937,87,6.0,1.0,0.0,0.001017293997965412,0.0034040222239611864,0.00023476015337663353,3.912669222943892e-05,0.0,0.0071081951045232645,0.724620084599718,1.008441215064925,0.0,0.0,0.0,0.0
tripoli,2971,2.7257607518831635,156.34441078903882,127.21193425377045,35735.17598407946,19253.268274367525,8089,17,31024,4272,9,0.0,0.0,0.0,0.000391605814194559,0.00020732072516182535,0.0,0.0,0.0,0.008120408886484224,0.9013458081762455,0.7754053213186914,0.0,0.0,0.0,0.0
tucson,84,2.8506937167288426,82.45083100941591,66.55994275937213,25958.718141373505,14807.70366147191,4598,170,13483,5436,142,28.0,0.0,0.0,0.00712579117240223,0.0059521314498889215,0.0011736597225133084,0.0,0.0,0.005568103798831706,0.7633300966775024,0.7449175621186852,0.0,0.0,0.0,0.0
tunis,2767,2.9290582179366345,251.65201045932466,226.76139527269856,48234.78951049819,26748.06458261521,5457,74,42609,7000,24,6.0,2.0,0.0,0.0013412600594504458,0.00043500326252446896,0.00010875081563111724,3.625027187703908e-05,0.0,0.009408232497796674,0.8723728628988348,0.8571389677922879,0.0,0.0,0.0,0.0
vadodara,6737,2.6005359877488514,300.5714895756087,227.4999367882766,56776.093898547784,29841.61582814556,6350,19,17494,2229,28,0.0,0.0,0.0,0.0007274119448698315,0.0010719754977029097,0.0,0.0,0.0,0.010072225690008391,0.9135282173096816,0.7711937467670555,0.0,0.0,0.0,0.0
valencia,1911,3.06770870086797,154.29709334333643,144.02949338406987,30652.912538983204,21660.949502688036,1886,275,20366,5685,120,5.0,2.0,1.0,0.009702914402653307,0.004233999012066897,0.00017641662550278738,7.056665020111496e-05,3.528332510055748e-05,0.0071232839227194904,0.7928171874443296,0.5317750182615048,1.0,3.528332510055748e-05,1.0,3.528332510055748e-05
valencia,821,2.8663636363636362,180.84755056011704,150.15350383659361,46389.633788574145,26011.516961725563,4294,40,15774,5141,47,4.0,0.0,0.0,0.0015810276679841897,0.001857707509881423,0.00015810276679841898,0.0,0.0,0.006952595299467683,0.7944576405384006,0.8085123230723548,0.0,0.0,0.0,0.0
vancouver,187,2.8836832061068702,71.70355481165664,58.277383463812406,25951.39771257041,14464.542118880428,5887,169,17303,7885,187,9.0,0.0,0.0,0.005375318066157761,0.005947837150127227,0.00028625954198473283,0.0,0.0,0.004957194926900774,0.741581657126411,0.7999904056798376,0.0,0.0,0.0,0.0
