city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
san rafael,13,2.6438178996378685,87.47336967838177,65.6842193937771,29011.981250885896,16428.584323507577,963,53,2285,532,31.0,1.0,0.0,1.0,0.013709260217278842,0.00801862390067253,0.0002586652871184687,0.0,0.0002586652871184687,0.005324461801204416,0.8518227117755048,0.6727463587455714
san rafael del mojan,721,2.8714788732394365,152.88339522709333,127.8514308677277,48762.44233411645,24783.116487611962,93,0,362,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006168852706781785,0.801056338028169,0.9062776304155614
san ramon de la nueva oran,980,3.498200143988481,214.99691101163512,210.6629200049211,71422.60226676129,37114.71227643424,28,1,613,745,2.0,0.0,0.0,0.0,0.0007199424046076314,0.0014398848092152627,0.0,0.0,0.0,0.005792767822375013,0.4618155619596542,1.1692529772645255
san salvador de jujuy,967,3.204331941544885,316.1416446618602,293.3715262050039,78071.14986159373,47350.689032217364,276,17,2206,1317,13.0,3.0,0.0,0.0,0.004436325678496869,0.0033924843423799585,0.0007828810020876827,0.0,0.0,0.006676600723735144,0.6505897771952818,0.8305573770491803
san severo,3040,3.275175013462574,653.7881315559854,613.652511201983,89532.79985895826,53373.57243523985,114,8,996,731,8.0,0.0,0.0,0.0,0.004308023694130318,0.004308023694130318,0.0,0.0,0.0,0.012249285586968176,0.6003244997295836,0.8063904684538316
san tan valley,85,2.816242821985234,77.71516679024847,67.32339305209383,33356.13655603735,17189.896605059705,163,5,950,95,6.0,0.0,0.0,0.0,0.004101722723543888,0.004922067268252666,0.0,0.0,0.0,0.004520979304050826,0.9168039538714992,0.8250103177878663
san vicente del caguan,593,2.7942779291553133,664.3153028915676,523.1256744840955,130566.92985399147,65283.46492699584,156,0,418,159,1.0,0.0,0.0,0.0,0.0,0.0013623978201634877,0.0,0.0,0.0,0.010175858521517625,0.782016348773842,0.8851674641148325
saoner,7893,2.8125,107.93635812756746,90.39669993183774,51731.31272397046,27959.909090213536,26,0,114,18,2.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0038603973202955477,0.875,0.8126984126984127
sao borja,1111,3.345316934720908,720.6433785317139,677.6911241821415,256401.53653447155,139897.51321785705,63,0,507,483,4.0,0.0,0.0,0.0,0.0,0.003784295175023652,0.0,0.0,0.0,0.005151223649054315,0.5392620624408704,1.0047415836889522
sao carlos,1260,3.2207766212970377,234.52703351485602,218.8011415557934,62399.73110055672,37012.41307603308,335,15,2870,1765,10.0,1.0,0.0,0.0,0.00300240192153723,0.0020016012810248197,0.00020016012810248197,0.0,0.0,0.0063364426694654235,0.643445091347119,0.8210304308526665
sao felix do xingu,1110,3.3623737373737375,243.08688590885328,220.68115021270896,77442.24320539835,41030.38133626551,73,1,284,434,0.0,0.0,0.0,0.0,0.0012626262626262627,0.0,0.0,0.0,0.0,0.0059245582905171805,0.45132743362831856,1.0856055802155993
sao joao da boa vista,1299,3.0807002561912893,263.689856450329,234.0782286764449,66965.52424321079,37734.65167399112,263,8,1351,717,3.0,0.0,0.0,0.0,0.0034158838599487617,0.0012809564474807857,0.0,0.0,0.0,0.006988002929733657,0.6915167095115681,0.8473085996139824
sao joao del rei,1350,2.9394919168591223,228.49635499639783,197.88945294145307,50589.20244226239,27247.24605762151,290,15,1401,454,5.0,0.0,0.0,0.0,0.006928406466512702,0.0023094688221709007,0.0,0.0,0.0,0.008386034849657166,0.7865116279069767,0.8412107101280559
