city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop
oron,2711,2.6191011235955055,163.03613966562654,124.93331151905313,57746.548851531996,29774.42829383325,208,2,602,77,1.0,0.0022471910112359553,0.0011235955056179776,0.005475710165000678,0.9121621621621622,0.758893280632411,0.0,0.0,0.0,0.0
orsha,3460,2.899366085578447,58.95705594069541,50.314381337661615,24243.916814235938,12490.354841364604,185,2,831,243,1.0,0.001584786053882726,0.000792393026941363,0.004720206646607503,0.8063492063492064,0.8886679920477137,0.0,0.0,0.0,0.0
orsk,5681,3.0054644808743167,42.87643994800088,37.06586229384557,18950.838622634517,10684.692201753265,124,0,541,247,3.0,0.0,0.003278688524590164,0.00401288489536135,0.726775956284153,0.7967123287671233,0.0,0.0,0.0,0.0
oruro,888,3.355075792374828,334.62683071732096,321.04910752943397,83656.85247422049,46156.19085322418,265,6,3452,2767,36.0,0.0009186954524575103,0.005512172714745062,0.007249879691793199,0.5696551724137932,0.9912610195477194,4.0,1.0,0.0006124636349716736,0.0001531159087429184
oryol,3694,2.819971870604782,49.94569576195449,39.97060603171885,22543.19134453473,12035.224195660685,426,5,1238,456,7.0,0.0023441162681669013,0.0032817627754336614,0.004149959730701359,0.7819548872180451,0.7901670195248177,1.0,0.0,0.00046882325363338024,0.0
osh,6129,2.669607410674901,102.47318857628103,79.12629757511246,36383.19501378662,18410.886988899827,1033,8,2926,559,7.0,0.00176444640494045,0.0015438906043228936,0.005565901775295427,0.8747238179407866,0.7998231457941859,1.0,0.0,0.00022055580061755624,0.0
oshawa,899,2.9720902612826605,54.23309602959801,47.706230949234666,23253.737845633194,12337.813004773112,608,20,3337,1079,8.0,0.00395882818685669,0.001583531274742676,0.004395681471960787,0.7839825119236884,0.8713589820061637,0.0,0.0,0.0,0.0
oshkosh,688,2.942436974789916,45.03637434726387,37.54292718696283,19526.238825806813,10515.109959157893,396,8,1323,644,8.0,0.0033613445378151263,0.0033613445378151263,0.004283015063293797,0.7247048903878583,0.8501793627347541,1.0,0.0,0.0004201680672268908,0.0
osijek,3195,2.802316602316602,89.78025718338344,74.73599787157325,24796.58407766286,14040.256332373754,217,13,875,189,1.0,0.010038610038610039,0.0007722007722007722,0.0063944884664512746,0.8517940717628705,0.6932395466979289,0.0,0.0,0.0,0.0
osina,2528,2.702308626974484,357.00353806600015,283.6941845627753,197043.57760963665,98712.15150670854,169,0,561,93,0.0,0.0,0.0,0.0036166118620333983,0.8869987849331713,0.7751371115173674,0.0,0.0,0.0,0.0
osizweni,3821,2.9784206782072564,196.311583241872,181.97343582937577,73192.29354499199,36699.17490402508,308,0,3385,523,1.0,0.0,0.00023713540431586437,0.005349209723522721,0.8757410481384871,0.9564598410250327,0.0,0.0,0.0,0.0
oskemen,6158,2.853811149032992,56.76858735811549,46.91965724194642,24642.066938029628,13106.360709678878,305,2,1098,352,0.0,0.0011376564277588168,0.0,0.004331376849424922,0.7989749430523918,0.7952666096378671,1.0,0.0,0.0005688282138794084,0.0
oslo,2493,2.685838680109991,126.42614807386838,100.89370570392428,38548.168397223824,21802.91497859655,2644,175,8958,1281,33.0,0.01336694164375191,0.0025206232813932174,0.0057985892344201775,0.8981961755825656,0.6155484145727671,1.0,0.0,7.638252367858234e-05,0.0
osmanabad,7508,2.6390168970814134,372.15254469647505,287.35588192641285,78873.16997851497,39541.777440798236,445,0,1326,179,3.0,0.0,0.0015360983102918587,0.009411629137148932,0.9068100358422939,0.8144065624198923,0.0,0.0,0.0,0.0
osmaniye,4325,2.9950920245398773,336.73714460841313,307.8975707511527,81341.16965206884,43508.80492008194,349,0,3058,658,10.0,0.0,0.00245398773006135,0.007739517213284538,0.8360736196319019,0.9119705340699816,0.0,0.0,0.0,0.0
osnabruck,2389,2.683595324465941,79.81216349651179,61.507801936852296,25578.38899696131,14228.291060606927,569,34,1511,349,16.0,0.013704151551793631,0.006449012494961709,0.005609399129982887,0.85002043318349,0.7073021067703007,2.0,0.0,0.0008061265618702137,0.0
osogbo,2241,2.6304646686829805,135.20167321358886,105.48109643760198,35048.18426688723,18360.5869766509,1599,2,5166,502,5.0,0.00027495188342040145,0.0006873797085510036,0.007363690136133688,0.9302805280528053,0.7682784235504505,0.0,0.0,0.0,0.0
osorno,968,2.9598834603316897,428.3354380806397,369.297720819413,84418.67124710775,47544.35900476893,615,6,2797,1031,13.0,0.001344688480502017,0.00291349170775437,0.009009174738009941,0.7657091561938959,0.8385539463343438,0.0,0.0,0.0,0.0
ostrava,3120,2.713878326996198,61.48757140555854,48.99912613592513,19105.002464131758,11243.793002695378,641,55,2041,404,15.0,0.017427122940430924,0.004752851711026616,0.005468579098780869,0.8648822960335376,0.6827497176052929,0.0,0.0,0.0,0.0
ostrowiec swietokrzyski,3248,2.7282051282051283,127.58372996754612,102.39412174318444,31403.487836982124,16829.732080352496,308,12,1040,196,4.0,0.007692307692307693,0.002564102564102564,0.0075808532992923255,0.8708010335917312,0.6748625040439987,0.0,0.0,0.0,0.0
