city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop
acayucan,238,2.947515095215978,259.38268279832795,214.4455064472939,62570.57904683149,32881.9106519931,373,0,1156,615,9.0,0.0,0.0041802136553646075,0.007888309336507663,0.7101718532280539,0.8844454777958615,0.00010745511807324237,5.002566018307373e-08,0.237598502396924,0.00011035694491264468,0.04582681673463477,2.0000999748928993e-05,0.0,0.0
achalpur,7617,3.0502008032128516,115.49732744637711,108.53965711828211,50840.58395843471,25420.291979217334,30,0,385,82,0.0,0.0,0.0,0.004543509080887164,0.8333333333333334,1.0161453077699294,0.0006315414716983059,1.2681555656592488e-06,0.3416346321089871,0.0006860133174879259,0.09319118764155844,0.00017936591802147483,1.0,0.002008032128514056
acheng,11189,3.076923076923077,7.543107266016791,6.605798079115297,9579.59759738455,5814.290906937992,21,0,94,53,1.0,0.0,0.005917159763313609,0.001297339157388197,0.6804733727810651,0.7297297297297297,0.003135554659824461,1.87757764061345e-05,0.1882461393530443,0.0011138824813789604,0.15933358221869276,0.0008239787380998157,0.0,0.0
achinsk,6155,2.7091954022988505,67.95414735716454,50.92655641019688,28387.21542813153,14608.269037327304,218,2,469,177,4.0,0.0022988505747126436,0.004597701149425287,0.004651759026584664,0.7914746543778802,0.7614095898324668,0.00020237843910638303,2.395011113685006e-07,0.28870837068089,0.0003318487019320575,0.06136340961026333,6.605945433054172e-05,0.0,0.0
acilia,2895,2.8160556257901392,158.47124805099486,132.02598288951404,41237.98338663871,24035.33604506642,528,18,2137,471,9.0,0.005689001264222503,0.0028445006321112516,0.0065932611782028,0.8471074380165289,0.6635915380944807,6.280719538620431e-05,2.0221247709660114e-08,0.21713687452062225,6.862733075873017e-05,0.03989729394480127,1.1406167276943806e-05,1.0,0.0003160556257901391
acireale,3056,2.8321259842519684,228.0037116376503,196.54997126055082,46258.77116483561,27122.43767194785,438,28,2344,359,6.0,0.008818897637795276,0.001889763779527559,0.008406460893943526,0.8840165236733397,0.5918269995229766,4.106620943548628e-05,1.3082577074063803e-08,0.30764387155647255,9.689570757684175e-05,0.03302491788106701,7.147710119637758e-06,0.0,0.0
adama,5246,3.076074498567335,458.47456705400737,418.01320125096026,105159.81053872382,56994.337359478566,616,0,4604,1757,3.0,0.0,0.0004297994269340974,0.00804421260593461,0.7478510028653295,0.9397348620566105,4.274011344209611e-05,6.124980430223002e-09,0.13135137058778032,1.881824793521208e-05,0.03301567273531022,4.248360870384132e-06,0.0,0.0
aden,5723,2.8943514644351462,712.9225789835132,624.1801240682014,187779.34631799418,119635.85864523689,119,1,699,136,1.0,0.0010460251046025104,0.0010460251046025104,0.005959104461293529,0.856544502617801,0.7186351706036745,0.0002723450937783417,3.200294874011066e-07,0.25829687106601934,0.00027018501157533405,0.05730749290831868,5.664837145317269e-05,0.0,0.0
adikpo,2811,2.975206611570248,118.41302940276786,96.8833876931737,84336.77858359115,42221.77448496464,22,0,58,41,0.0,0.0,0.0,0.0028045488577211563,0.6611570247933884,0.9620253164556962,0.00478519368568009,3.9547055253554464e-05,0.17921899907112887,0.0014811487526539577,0.1897862975129585,0.0013529816332743284,0.0,0.0
adilabad,7920,3.09595461272817,534.3434500825787,499.9419600797289,91456.83211711186,47346.199178046096,261,1,2883,906,3.0,0.000246669955599408,0.0007400098667982239,0.011285878473014741,0.7757216876387861,1.002962597210221,5.943594177182245e-05,1.4661061117864442e-08,0.22910912448628754,5.651433756445178e-05,0.037077294742294056,8.765873926453356e-06,0.0,0.0
