city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,8way_int_count,8way_int_prop,9way_int_count,10way_int_count,9way_int_prop,10way_int_prop
saltillo,178,3.05349988215885,242.6397023220401,214.20688120619795,51968.80559665232,29730.132604567323,2486,35,12621,6019,40,13,1.0,0.0016497761018147536,0.0018854584020740043,0.0006127739806740513,4.713646005185011e-05,0.008161406662705713,0.7132672332389046,0.8513752803683154,0.0,0.0,0.0,0.0,0.0,0.0
salt lake city,193,2.6727774429889943,84.0773059644887,63.991979169330946,28582.0173093153,15493.148268670371,7532,87,19228,4548,117,16,1.0,0.002759364394684259,0.0037108693583684862,0.0005074693139649212,3.1716832122807575e-05,0.005426741195945726,0.8510908975256027,0.7586793683105647,0.0,0.0,0.0,0.0,0.0,0.0
salvador,1420,2.646484944737951,293.00762848294346,231.04990092897066,61563.307708867236,35031.15676222863,6524,109,21992,2207,20,1,0.0,0.0035328817294914593,0.0006482351797232036,3.241175898616018e-05,0.0,0.008364200773377566,0.9275305750715587,0.6758616202852821,0.0,0.0,0.0,0.0,0.0,0.0
santa cruz de la sierra,976,3.196872613791043,191.3715938881512,185.05628681584875,55178.38228824985,29912.153343215065,994,20,21276,7735,85,11,0.0,0.0006639885793964344,0.002821951462434846,0.0003651937186680389,0.0,0.006397787270355773,0.7398425301485001,0.9422728707410668,0.0,0.0,0.0,0.0,0.0,0.0
santiago,931,2.952667782115635,316.8463181209325,276.6352865044137,60845.5543555953,36108.67689515877,13653,279,71451,21916,266,15,0.0,0.002593418851087563,0.0024725785461981783,0.00013943112102621306,0.0,0.00877479723338778,0.7931333351972488,0.7959663928200301,0.0,0.0,0.0,0.0,0.0,0.0
santo domingo,816,2.8874815108018583,192.21699435590324,163.35701480708144,47080.16227049195,25783.53764027809,7207,41,31775,8905,70,3,0.0,0.0008541488718985021,0.001458302952021833,6.249869794379283e-05,0.0,0.007455027973183515,0.8128023352793995,0.8551217223583382,0.0,0.0,0.0,0.0,0.0,0.0
san antonio,250,2.9196587926509188,70.56276547350838,59.561641407559826,28109.29040379849,15880.621519805727,5940,350,22801,8853,152,4,0.0,0.009186351706036745,0.003989501312335958,0.00010498687664041995,0.0,0.004443325180031845,0.7613509933774835,0.8110338433008809,0.0,0.0,0.0,0.0,0.0,0.0
san jose,10,2.8724231702681364,78.49461223973832,64.12493469471492,25477.377460638716,14829.148133715431,18782,781,58834,23222,912,58,4.0,0.007612308352096065,0.008889148805520629,0.0005653186740353031,3.898749476105539e-05,0.005293265097357387,0.7623163353500432,0.7611024078339317,4.0,3.898749476105539e-05,0.0,0.0,0.0,0.0
san jose,392,2.620728029867892,131.67791885580476,97.71375145994902,34549.18576161373,18625.57121349222,7185,72,16765,3792,41,1,0.0,0.002584721424468696,0.0014718552556002298,3.5898908673176336e-05,0.0,0.007069738551718525,0.8620069104520587,0.7105087918218959,0.0,0.0,0.0,0.0,0.0,0.0
san luis potosi,144,2.902078959842893,266.5746045971414,222.47344938411123,48973.69862338779,29329.14638792609,4886,92,17775,6601,169,11,0.0,0.003115053836256518,0.005722218460079908,0.00037245208911762713,0.0,0.009089067955516155,0.7696827661164323,0.7440513595679275,0.0,0.0,0.0,0.0,0.0,0.0
san salvador,321,2.589115341545353,176.27006987636634,127.17500629333182,40291.28251461907,22708.111599679247,6218,44,12788,3244,30,1,0.0,0.001970884658454647,0.0013437849944008958,4.479283314669653e-05,0.0,0.0077624274965627784,0.8530137785557201,0.6641156271741814,0.0,0.0,0.0,0.0,0.0,0.0
sao goncalo,1372,2.794124626263585,129.11835491044314,105.6734863286314,39123.31349806487,20816.553536492087,3826,13,13915,3308,8,1,0.0,0.0006169617009159508,0.0003796687390252005,4.7458592378150065e-05,0.0,0.006202676859264649,0.8424826669199355,0.8118543848400656,0.0,0.0,0.0,0.0,0.0,0.0
sao luis,1312,3.005395537525355,213.59353876057045,191.75760700898272,51939.82415028707,28422.734134985305,2520,24,16957,5103,44,2,0.0,0.000973630831643002,0.0017849898580121705,8.113590263691683e-05,0.0,0.007514883605010398,0.790912044180947,0.870124068471176,0.0,0.0,0.0,0.0,0.0,0.0
sao paulo,1303,2.935210456089277,141.59116067476594,125.50171145184238,35965.531296224355,20601.511752049617,22483,366,142771,31969,257,10,0.0,0.0018498301795245027,0.0012989244703218502,5.0541808183729584e-05,0.0,0.006872852942972946,0.8367714821003596,0.7757478321412747,0.0,0.0,0.0,0.0,0.0,0.0
sapporo,12736,3.200570148645897,230.88601696108407,222.584118672539,52966.61085206161,28001.020822679155,2119,33,40861,15766,137,13,3.0,0.0005599674200773773,0.0023247132288060817,0.00022059322609108804,5.090612909794339e-05,0.008245628558444561,0.7297237644102617,1.0480503934868795,0.0,0.0,0.0,0.0,0.0,0.0
