city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
bradenton,500,2.8039196910210986,61.75051913472513,49.699618244504904,22165.33846000306,12300.016839449112,6114,202,18952,5844,210,6.0,0.0,1.0,0.006447700213859363,0.0067030546777745855,0.00019151584793641673,0.0,3.191930798940279e-05,0.005020360536147916,0.8052815883316735,0.7573454995260968
brisbane,13076,2.7619692863595304,109.38798732286247,90.74822158181824,30635.595812311323,17605.84764900003,5659,363,23581,3455,136,15.0,1.0,0.0,0.010930442637759712,0.004095152062631738,0.00045167118337850043,3.0111412225233363e-05,0.0,0.006213162211992415,0.8901878405942704,0.6728371569060269
bristol,1771,2.413877144988809,191.6361267498379,134.01660990314454,32627.798476020467,17993.99589448432,6045,420,12929,697,13,1.0,0.0,0.0,0.020890325789604577,0.0006466053220591893,4.9738870927629945e-05,0.0,0.0,0.010650003916505278,0.9638811277622555,0.6175790676997333
budapest,3193,3.03547261799689,82.74474352910457,74.71127328356043,27333.689693267424,15460.911030617926,2310,260,15675,5394,132,22.0,0.0,0.0,0.010927583743117723,0.005547850208044383,0.0009246417013407304,0.0,0.0,0.005351867258355054,0.7642459524922449,0.8187458830029111
buenos aires,1105,3.4475935138326066,119.62832781165709,113.88536183989659,36316.513907226996,21613.13916053914,7807,242,67347,86000,1043,177.0,7.0,0.0,0.0014881043886781082,0.006413606931368871,0.0010884069289091949,4.30443418212676e-05,0.0,0.005534981611096652,0.4628250842155178,0.9615681879066502
bursa,3589,3.0278932687753275,325.55728545590415,300.57636223108926,57828.36956829473,31767.073783135907,2916,24,28320,6581,149,11.0,1.0,0.0,0.0006315457081206252,0.003920846271248881,0.0002894584495552866,2.6314404505026052e-05,0.0,0.010248261696320666,0.8224761704144504,0.9126805440349699
busan,12678,3.1025566248663363,112.42787940084285,102.44412633068926,36242.71075684785,20524.095931280037,1827,43,13103,5417,166,14.0,4.0,0.0,0.002090016525712064,0.0080684358899582,0.0006804704967434626,0.0001944201419267036,0.0,0.005477848075612216,0.7271930251814329,0.9484131816742577
cairo,3902,2.7854626531176128,408.5865850372523,342.6520898748421,67940.61633415052,37140.718866306255,42051,77,190293,28066,83,14.0,0.0,0.0,0.0002954901298621558,0.0003185153347864796,5.3725478156755596e-05,0.0,0.0,0.011001041377470983,0.8918915806485046,0.8153601953133247
calgary,362,2.969867731079283,84.20239261113498,73.03867240425836,27964.703052173318,17141.17859153197,3388,132,16149,5636,245,4.0,0.0,0.0,0.005165531814980042,0.0095875401111372,0.00015653126712060735,0.0,0.0,0.004912287224679659,0.7685075918495791,0.7031412891677649
cali,512,3.1333809162689032,253.48373722059148,234.92787279720787,53743.40531080962,32439.656817258798,1641,47,14482,6179,64,4.0,0.0,0.0,0.0020966230985412855,0.0028549761341838784,0.0001784360083864924,0.0,0.0,0.007814007979447276,0.7207420652659813,0.7929361797250475
campinas,1291,3.0488617607673385,182.50535098887278,167.20516087140382,46220.891529318316,27293.43568896939,2692,49,22398,6943,28,1.0,0.0,0.0,0.00152595683722089,0.0008719753355547943,3.114197626981408e-05,0.0,0.0,0.0066867855358580626,0.7825463165117584,0.781718367410596
campo grande,1091,3.31967816091954,200.0850363649183,192.12763147040545,59219.01625869006,32627.310478038395,865,28,12201,8601,55,0.0,0.0,0.0,0.0012873563218390805,0.002528735632183908,0.0,0.0,0.0,0.006132440383021963,0.6015099898720192,0.9934160546973917
cape town,3268,2.819373645979355,161.7358062370445,134.23020748295556,41400.51788523802,22793.140865879708,10676,231,41658,10182,25,4.0,0.0,0.0,0.0036797502230151652,0.00039824136612718236,6.371861858034918e-05,0.0,0.0,0.0070958104101903575,0.8367415460868175,0.800687532477915
casablanca,1575,3.06879172377205,287.9833888174558,271.4318876254185,55935.306043210876,32842.46435713785,2600,61,34271,8243,59,4.0,0.0,0.0,0.0013484238914187189,0.0013042132720279412,8.842123878155533e-05,0.0,0.0,0.008768629104254983,0.8161453837129513,0.848908122945467
cebu city,12981,2.3835109058484614,220.15605537276727,145.2270910790407,45220.34039220707,23713.51923376785,7443,45,12960,1400,16,3.0,2.0,0.0,0.0020577072568475924,0.000731629246879144,0.0001371804837898395,9.1453655859893e-05,0.0,0.009283989154139001,0.9348881964809385,0.6450748115390784
ceilandia,1210,2.8638850563775633,233.15971494438202,208.75553906172155,52497.37375968222,29825.212223603023,2200,204,16880,1727,8,0.0,0.0,0.0,0.009705504543508254,0.0003806080213140492,0.0,0.0,0.0,0.00781753749801869,0.916646649051165,0.7582942942942943
chandigarh,6760,2.849644963744975,404.6144779597092,353.64433314252824,95865.97461440924,53568.966766013786,3353,15,20553,2673,23,0.0,0.0,0.0,0.0005635496111507683,0.0008641094037645114,0.0,0.0,0.0,0.007553150683809944,0.8986542365235697,0.8231357732288201
chengdu,10297,3.10182166146867,43.81581151497506,38.809355024888596,23126.460612632014,15908.09467193665,3224,107,15753,8862,247,20.0,3.0,0.0,0.003792174652679331,0.008753898497306492,0.0007088176920895946,0.00010632265381343918,0.0,0.0027543092003513283,0.6751218470952364,0.6870474801202568
chennai,8675,2.7171935193027514,323.31751179103617,258.4526040267243,67826.92562812218,35992.89186414748,22029,53,74760,12878,72,9.0,1.0,1.0,0.0004826826225148675,0.0006557197890768012,8.196497363460015e-05,9.10721929273335e-06,9.10721929273335e-06,0.008982815635136357,0.8819043280182233,0.8134946126335452
chicago,634,3.001205980044062,52.81658196595057,45.09943338048047,21489.81098380896,12219.235465223801,21687,935,82140,42946,620,95.0,3.0,1.0,0.00629939296758676,0.004177137582784803,0.0006400452747815425,2.021195604573292e-05,6.737318681910973e-06,0.004322412978804415,0.7039500447481898,0.856027039212961
