city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
akwanga,2729,2.5818022747156606,255.62543947136038,193.45232295951595,60376.14325133673,30795.858009321735,278,0,787,78,0.0,0.008300643527905084,0.931758530183727,0.7457255589653661,0.0001959770066430702,1.714584485066231e-07,0.21408616325641072,0.00018730198010184665,0.060553031659036735,5.003218567393629e-05,0.0,0.0,0.0,0.0
ak mil,11918,2.537117903930131,254.023135490778,182.58606157983434,83229.85682051511,42398.3637137487,322,0,710,112,0.0,0.005991342901952719,0.9013100436681223,0.711597374179431,0.00014892336321109992,1.3074922143204558e-07,0.4248025503282591,0.00037100659417315204,0.055916051772827005,5.01483018840073e-05,1.0,0.0008733624454148472,0.0,0.0
alaba kulito,5042,3.0738396624472575,243.2970147193256,221.7390513897651,85528.77627418721,44548.926570993826,42,0,314,117,0.0,0.005461344042299288,0.7510548523206751,0.9745493107104984,0.0010183375246207822,2.148391402153549e-06,0.1458992309135409,0.0003078042846277234,0.10565041075077639,0.0002017162513358904,1.0,0.002109704641350211,0.0,0.0
alacant alicante,1908,3.02754161178302,120.57176041594423,109.42562234372426,25702.172280228137,18518.435153276965,772,82,5705,1737,0.009819183331337564,0.006510904372749239,0.7832869754504777,0.48944535172080084,3.1911476495949034e-05,3.896395176550554e-09,0.18260648068974297,2.1866420870523647e-05,0.030446369908103822,3.612422869645997e-06,46.0,0.005508322356603999,9.0,0.0010777152436833913
alagoinhas,1419,2.9253361641896674,284.18388851286346,255.42359406322478,71769.77823508986,37547.12462638233,286,1,2179,359,0.00035385704175513094,0.007568725737075027,0.8725663716814159,0.8568644818423383,9.38583425250583e-05,3.321243542995694e-08,0.16712170029331905,5.9137190478881474e-05,0.042798835386889736,1.3960039606661328e-05,0.0,0.0,1.0,0.00035385704175513094
alamdanga,9749,2.5098039215686274,12.209919082493064,8.379356233083476,16334.02706063968,8167.0135303198385,16,0,28,7,0.0,0.0014950286340489137,0.8627450980392157,0.8041237113402062,0.00945814813643512,0.0001854538850281396,0.48775510204081635,0.009563825530212086,0.25684384460855025,0.005214851898206091,0.0,0.0,0.0,0.0
alampur,9770,2.283582089552239,8.77583175238545,5.370285102206021,12776.000731837936,6388.00036591897,26,0,37,4,0.0,0.0013737995068387836,0.9402985074626866,0.5426356589147286,0.005688282138794087,0.00011153494389792326,0.2988344988344988,0.004460216400514907,0.14381483133179207,0.0027311837824491943,0.0,0.0,0.0,0.0
alanya,3829,3.060069144338807,242.66902427716354,227.25314416966873,60520.853028958845,34879.02335572538,147,4,1740,410,0.001728608470181504,0.006957448945809702,0.8168831168831169,0.8182015167930661,0.00014001106084769708,6.114020124353585e-08,0.19135429592056127,8.269416418347505e-05,0.051023453833665626,1.877793664824425e-05,12.0,0.005185825410544511,1.0,0.000432152117545376
alappuzha,7923,2.5139813581890813,173.2381250308473,125.54573841283441,71636.00290100522,36123.39924452717,1654,0,3968,384,0.0,0.0047957315383904105,0.9357523302263648,0.7356589792690034,2.072242510972731e-05,3.474002533064092e-09,0.3590984562965446,5.977004931700143e-05,0.025194127005227943,3.5241547988976324e-06,2.0,0.00033288948069241014,0.0,0.0
alasdowo,12484,2.5324165029469548,113.06844618725384,81.5247932234227,47064.9748593193,23532.487429659617,142,0,321,46,0.0,0.004804780902368438,0.9096267190569745,0.7127344521224087,0.00024235896954539622,4.761472879084405e-07,0.4791285885593575,0.0009413135335154372,0.07149693797955568,0.00011125129455554122,0.0,0.0,0.0,0.0
