city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
pyapon,10238,3.1023765996343693,262.8364984940914,222.95454351235543,103068.01355259043,51534.00677629515,83,0,242,222,0.0,0.005100253501247105,0.5941499085923218,1.024793388429752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyatigorsk,4625,2.936320754716981,52.61678089558644,44.82974551540236,23744.48816968512,12703.347623239768,251,12,1032,396,0.007075471698113208,0.004141961824246091,0.7618764845605701,0.8409158489443949,5.0,0.00294811320754717,0.0,0.0,0.0,0.0,0.0,0.0
pyawbwe,10176,2.9297658862876252,194.57175815220137,157.47948318673153,63012.08730429059,31506.04365214516,57,0,149,93,0.0,0.006175696329899344,0.6889632107023411,0.9477234401349073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyay,10171,2.968944099378882,282.9476134380946,237.2542100257315,79630.06020467238,40668.26469382188,260,0,880,470,0.0,0.006957454800894875,0.7080745341614907,0.9262830482115085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyeongtaek si,12477,3.2323624595469256,146.0936149858674,138.71801500599835,40994.43855564842,24123.78126862833,78,4,969,476,0.0025889967637540453,0.00605599981856303,0.6794289422452953,0.9158271043223919,13.0,0.008414239482200648,4.0,0.0,1.0,0.0025889967637540453,0.0,0.0006472491909385113
pyin oo lwin,10170,3.083796062594649,238.3594070380716,216.94195400789656,81515.57367789235,41177.12083634273,178,4,1275,522,0.0020191822311963654,0.005788637043989165,0.734951947395043,1.0129146619397316,2.0,0.0010095911155981827,0.0,0.0,0.0,0.0,0.0,0.0
pyongyang,12109,2.480561555075594,82.31496292614561,56.89155105046781,34389.48114902823,18105.814318063112,1716,8,3287,536,0.0014398848092152627,0.004546327576331366,0.9017664023071377,0.6858714272833829,9.0,0.0016198704103671706,0.0,0.0,0.0,0.0,0.0,0.0
pyu,10242,2.6934782608695653,230.60335187470434,174.45644880955894,81296.1486893401,40648.07434467007,112,0,265,83,0.0,0.005673167932122274,0.8195652173913044,0.8360655737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p yonghwa ri,12355,3.0264900662251657,80.046650366799,67.85411421821371,47601.75505963287,28130.307167068517,23,3,73,51,0.019867549668874173,0.0028455661678841427,0.6486486486486487,0.7457044673539519,1.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0
p yongsong,12100,2.479623824451411,119.67587425326411,84.9736223146217,65520.782030858514,32760.391015429224,185,0,415,38,0.0,0.0036530661125778424,0.9404388714733543,0.7230527143981117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qabatiya,4358,2.544927536231884,59.381129763776194,43.20192339335601,31173.082773531383,15592.18483164307,94,0,222,27,0.0,0.0038083905754674624,0.9159420289855073,0.7649635036496351,2.0,0.005797101449275362,0.0,0.0,0.0,0.0,0.0,0.0
qabilat alturki,3042,2.3550272798129384,172.55802383916864,113.04366253844213,54436.30608899866,28240.999439404615,885,0,1566,115,0.0,0.006110195363638539,0.9551831644583009,0.6050321825629023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qabodiyon,6050,2.7683881064162756,138.042213669133,111.47070775160034,67425.69831598098,33712.84915799051,123,0,418,98,0.0,0.004094646911099612,0.8466353677621283,0.8468185388845247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qadiyah,5009,2.9652317880794703,234.26305110327155,219.08508079448342,53360.40390783064,29323.712506869604,587,5,7604,864,0.0005518763796909492,0.007988860586748395,0.9045831032578686,0.8728528030930682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaem shahr,5802,2.1797610427226646,460.09719501396285,262.40699002380336,55060.51784997252,29839.815099072697,4747,9,5860,423,0.0008146270818247647,0.015418902345285002,0.960866020472869,0.5282471798124405,9.0,0.0008146270818247647,0.0,0.0,0.0,0.0,0.0,0.0
qaen,5927,2.7609022556390976,538.1647604341757,424.46228097402286,127015.0676131758,76597.22827806929,281,5,801,237,0.0037593984962406013,0.007025903841852967,0.8166037735849057,0.6601134215500946,6.0,0.004511278195488722,0.0,0.0,0.0,0.0,0.0,0.0
qafsa,2654,3.0105376925155363,288.14226021736874,266.654212711291,58941.384436499975,30947.251149226966,276,0,2834,591,0.0,0.00931075457487171,0.8403134288030262,0.9214546437745031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qalandul,3969,2.566813509544787,444.73995663902934,332.4120968124316,101456.26146493467,50728.13073246726,172,0,460,49,0.0,0.008767126842984278,0.9280469897209985,0.7649226234340457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qamishli,4700,3.1198438295705313,355.0314649562371,326.9471562362224,73429.20085450112,41107.549473770894,466,8,3783,1623,0.0013580037345102699,0.008636648730004417,0.7222505524392316,0.9089363149392059,10.0,0.0016975046681378374,1.0,0.0,0.0,0.00016975046681378373,0.0,0.0
qarchak,5772,2.6303834808259587,267.32626554281154,196.82783445276036,60419.775951291864,33821.40254014172,894,4,1963,520,0.0011799410029498525,0.007904056173469719,0.8437684583579445,0.6719373429880301,8.0,0.002359882005899705,1.0,0.0,0.0,0.0002949852507374631,0.0,0.0
