city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
etah,7376,2.627450980392157,21.849762640794236,16.06600194176047,28395.50403626879,14929.751948351628,27,0,59,16,0.0,0.0014635047331249625,0.8431372549019608,0.6683417085427136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etawah,7491,2.682634730538922,13.710891797305289,9.93423896690982,22419.30339280586,12952.18252266252,46,0,83,37,0.0,0.0010585777164053433,0.7724550898203593,0.7598784194528876,1.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0
etmadpur,7319,2.6533333333333333,14.576484087122921,10.689421663890142,24998.775354454363,15334.147379362636,20,1,40,13,0.013333333333333334,0.0009505897997785379,0.8108108108108109,0.6083916083916084,1.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
ettumanoor,7973,2.4618135376756065,195.35014342044707,137.89275130074213,76476.24909439159,38422.09676725999,2303,2,5137,382,0.0002554278416347382,0.005084317615557819,0.9504343382728666,0.7018720848508082,6.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0
eugene,82,2.6571167674922953,84.33450971944275,62.6660949975542,27074.060845437914,14575.70463101599,2251,31,4992,1458,0.0035384088574363657,0.005785964511107431,0.829667812142039,0.7550845030077342,18.0,0.0020545599817372445,10.0,0.0,1.0,0.001141422212076247,0.0,0.0001141422212076247
eunapolis,1408,3.1949838187702264,251.56188935409546,237.51838582219207,64359.38423920859,33582.43159135146,138,2,1573,758,0.0008090614886731392,0.007490877742720709,0.6927125506072874,0.9785207700101317,1.0,0.0004045307443365696,0.0,0.0,0.0,0.0,0.0,0.0
evansville,545,2.9575721862109603,70.64829430898223,59.26907581882992,27326.094151996953,14988.406752821444,820,22,2817,1418,0.004321351404439206,0.004713529294611869,0.7174985204182285,0.8787131155630119,14.0,0.0027499508937340405,0.0,0.0,0.0,0.0,0.0,0.0
evaton,3672,2.9364602876798,354.5275043085238,324.4181640426717,128947.21205995382,65840.62790216944,679,4,6458,854,0.0005003126954346467,0.005384631277139479,0.8931297709923665,0.9419790949489891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exeter,1729,2.325544821388452,220.77378936548925,143.59472482882305,34833.96605295373,18717.555566717983,1556,39,2714,137,0.008762075937991463,0.011795011831462173,0.9678150498640072,0.563442567184488,3.0,0.0006740058413839587,2.0,0.0,0.0,0.00044933722758930576,0.0,0.0
ezakheni,3801,2.9096573208722742,398.12724372662217,370.0144165475876,172901.36268254963,86531.05591417912,68,0,846,49,0.0,0.004600975216591393,0.9491173416407062,0.92243623112962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ezbet abu habashi,4242,2.780821917808219,476.734693877551,399.6734693877551,120797.49093877563,63900.40816326536,118,3,532,75,0.00410958904109589,0.007460589182145679,0.8940852819807428,0.7950310559006211,2.0,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0,0.0
ezbet ahmad al ballasi,3830,2.9299004759844225,690.31218857503,622.8043761051222,151589.32250892717,76218.73891019658,226,0,1798,284,0.0,0.009056987801758022,0.8758113370835137,0.9330734243014944,3.0,0.0012981393336218088,0.0,0.0,0.0,0.0,0.0,0.0
ezbet al sibil qiblli,4286,3.0195876288659793,556.503149799195,508.31112445575945,102095.3926000904,52278.194183716594,168,0,1399,372,0.0,0.010645033909234231,0.8077319587628866,0.9638709677419355,1.0,0.0005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0
ezhou,11691,2.8130217028380633,25.338520526783583,20.008547928495215,15020.145735839445,10365.653001534843,126,4,326,142,0.00667779632721202,0.002444469299042878,0.7596638655462185,0.5443037974683544,1.0,0.001669449081803005,0.0,0.0,0.0,0.0,0.0,0.0
facatativa,617,2.8024582967515363,384.6956892013811,307.6890016351696,87949.0754386851,48897.51158983371,228,2,678,229,0.001755926251097454,0.007867387862767299,0.7968337730870713,0.7686205376817982,2.0,0.001755926251097454,0.0,0.0,0.0,0.0,0.0,0.0
fada n gourma,1982,3.08038029386344,355.9198158146998,319.00505531533594,123927.40873879494,61963.70436939705,120,0,711,319,0.0,0.005744004807925643,0.7182368193604148,1.0194889562581204,7.0,0.006050129645635264,0.0,0.0,0.0,0.0,0.0,0.0
fairfield,27,2.6601104209799864,91.49051390242941,69.20193460114743,28409.539129611636,15975.05789191319,706,41,1708,419,0.014147688060731538,0.00572708496716893,0.8449422471123557,0.7220178665265371,23.0,0.007936507936507936,1.0,0.0,0.0,0.0003450655624568668,0.0,0.0
fairland,871,2.7211538461538463,96.20469470990476,75.45725368043354,33704.63508166004,19577.529104803878,314,11,908,213,0.007554945054945055,0.004914036607729948,0.845674740484429,0.6824956672443674,10.0,0.006868131868131868,0.0,0.0,0.0,0.0,0.0,0.0
faiyum,3862,2.6938235112999567,288.8147108809903,233.18244192134145,73505.12747766056,38087.037072541694,3128,1,11833,1269,6.158014656074881e-05,0.007583018608953627,0.9213573100135485,0.7894120907887038,8.0,0.0004926411724859905,0.0,0.0,0.0,0.0,0.0,0.0
faizabad,8123,2.756575265808618,153.35610277928566,127.18172597588212,76312.55505230643,41760.34285001608,305,0,1311,167,0.0,0.003672290319312515,0.9043088975937326,0.8447744466237042,4.0,0.002238388360380526,0.0,0.0,0.0,0.0,0.0,0.0
