city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
hafizabad,6439,2.5873239436619717,104.62383939774767,77.06798310566484,43418.95921887692,22665.124441917662,187,0,444,77,2.0,0.0,0.0028169014084507044,0.00461607169490112,0.8887323943661972,0.7561837455830389,0.0,0.0
hagaribommanahalli,7688,2.3,35.71824317138064,22.85967562968361,39742.964096458854,20183.241232919758,18,2,27,3,0.0,0.04,0.0,0.0017696980757046401,0.9375,0.6923076923076923,0.0,0.0
hagen,2353,2.667257892869812,103.19860283651586,80.83097377191451,32139.597587360357,17765.747765453085,1222,89,3689,621,15.0,0.015785739623980135,0.0026605179141539555,0.0058088521912482505,0.8850243287078753,0.6874605607139638,2.0,0.000354735721887194
hagerstown,862,2.891690009337068,53.44004431190993,44.55831892673722,21514.908973750003,12835.396075801531,356,5,1313,453,13.0,0.002334267040149393,0.006069094304388422,0.004163490086033264,0.7810014038371549,0.6966502693839307,2.0,0.0009337068160597573
hagonoy,12819,2.4922680412371134,104.93262818148665,74.91324228420568,52002.5021381641,26216.978219042558,111,0,252,25,0.0,0.0,0.0,0.004002468450207179,0.9355670103092784,0.7094682230869002,0.0,0.0
haian,12244,2.9779208831646735,23.16916966953959,19.31119385520043,16173.498182163445,10008.784616769504,181,3,565,335,3.0,0.0027598896044158236,0.0027598896044158236,0.0023148834305735926,0.6881918819188192,0.6851595006934813,0.0,0.0
haicheng,11413,3.1376146788990824,11.486129522301887,9.975721053008368,10558.10807393106,7614.065022209324,43,4,148,129,3.0,0.012232415902140673,0.009174311926605505,0.0015085410340991588,0.5913312693498453,0.5990639625585024,0.0,0.0
haifa,4312,2.8628944504896627,109.05288464533274,95.0801129728758,24636.460650274625,17523.239055822043,942,117,5345,907,37.0,0.015914036996735582,0.005032644178454842,0.006223329162943779,0.8689702833448514,0.4554441755962669,4.0,0.000544069640914037
haikou,11925,2.881685166498486,46.75364784963439,39.21692207367163,22520.244268364084,14277.430926018946,639,22,2487,803,11.0,0.005549949545913219,0.0027749747729566097,0.0032746541091248664,0.7929984779299848,0.684731564919406,2.0,0.0005045408678102926
hail,5191,3.099691167387276,271.7491142773577,266.78075493047083,63487.37604707901,41493.50539761218,148,13,6840,1072,22.0,0.001605929586164299,0.002717726991970352,0.006549196354304547,0.8646374659737689,0.7447243022464262,0.0,0.0
hailakandi,10036,2.419642857142857,72.53274898933645,49.218651099906886,45284.950143276736,22642.47507163835,72,0,138,14,0.0,0.0,0.0,0.003203393125524072,0.9375,0.7200902934537246,0.0,0.0
hailun,10855,3.3011363636363638,15.911249157546763,14.193557487129782,13456.696509255195,7907.511131036758,19,0,67,89,1.0,0.0,0.005681818181818182,0.0020121690496388376,0.48863636363636365,0.8818443804034583,0.0,0.0
haimen,12372,3.297640653357532,16.273801114014542,14.265419125352132,13641.84670267235,10445.88753331315,68,2,180,300,1.0,0.003629764065335753,0.0018148820326678765,0.0015579146398154776,0.4517304189435337,0.5827996340347666,0.0,0.0
haining,12425,3.131165919282511,34.33563135751465,30.216895309023542,19196.17015945781,12230.190296519342,107,40,389,344,9.0,0.04484304932735426,0.010089686098654708,0.002807448659836995,0.5821596244131455,0.8045909358446145,3.0,0.0033632286995515697
haiphong,11275,2.463598901098901,152.6865017733267,104.54296818470908,39794.92742146576,20827.114033490187,5050,12,9457,1475,20.0,0.0007492507492507493,0.0012487512487512488,0.007331140624082888,0.9064608847788053,0.6932162609755336,2.0,0.00012487512487512488
haiyan,12448,3.359338061465721,22.074119668155298,19.56925502496037,17336.937815213703,11761.158590538496,48,2,128,240,5.0,0.004728132387706856,0.01182033096926714,0.0018768660840874363,0.4180522565320665,0.7502986857825568,0.0,0.0
haiyuan,10175,2.886178861788618,204.79859757074615,173.99555647270708,144042.74591014395,72021.3729550719,37,0,165,42,2.0,0.0,0.008130081300813009,0.0028435808589556163,0.8211382113821138,0.917864476386037,0.0,0.0
hai duong,11212,2.976115896632733,84.1530554033961,73.37856475464491,30552.27566942641,17334.42402284797,327,6,1634,575,12.0,0.0023492560689115116,0.004698512137823023,0.0048546784878734095,0.7696232339089482,0.8096641131408367,0.0,0.0
hajipur,8938,2.7277628032345014,76.39877741272952,62.60169362121233,54893.890159387534,29572.930513696865,67,1,269,34,0.0,0.0026954177897574125,0.0,0.0025834023238699663,0.9081081081081082,0.7605442176870748,0.0,0.0
hajiruk,5107,2.700588730025231,272.7899489574166,220.48035403538884,56407.26726967306,32220.424909755875,228,1,859,101,0.0,0.0008410428931875525,0.0,0.008466367210285292,0.914983164983165,0.7473639814424293,0.0,0.0
