city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,7way_int_prop
rafiganj,8900,2.451219512195122,69.4503293423336,47.42949320939856,60930.15785688473,30465.078928442348,26,0,49,7,0.0,0.002279670093928246,0.9146341463414634,0.710691823899371,0.0,0.0,0.0,0.0,0.0,0.0
rafsanjan,5905,2.888774033491834,539.2322699756102,464.42870306355013,112144.62592498222,62487.11190623904,671,2,3371,781,0.0004134794293983874,0.008629495803626194,0.8359875904860393,0.7854112778065183,11.0,1.0,0.0022741368616911307,0.0002067397146991937,0.0,0.0
ragusa,3038,3.0991035856573705,275.432918170793,251.56572307033585,42447.83241087497,25707.88901389409,174,7,1277,546,0.0034860557768924302,0.010713945358249077,0.7251374312843578,0.6925193895421566,4.0,0.0,0.00199203187250996,0.0,0.0,0.0
raha,12979,2.7969401947148818,307.04019443984936,256.2226935520301,92009.34933005547,49349.6279798426,119,4,500,96,0.005563282336578581,0.006221732706176901,0.8657342657342657,0.783859649122807,0.0,0.0,0.0,0.0,0.0,0.0
rahimyar khan,6313,2.811097256857855,211.7412095933427,172.3367513242574,61745.9207936737,32158.818955839488,597,0,2029,577,0.0,0.006584234635112249,0.8185785536159601,0.8586803930744034,4.0,1.0,0.0012468827930174563,0.0003117206982543641,0.0,0.0
rahuri,7175,2.5251798561151078,100.4225621671875,72.24644760229316,44676.5226357217,22338.261317860823,39,0,88,12,0.0,0.004495540666224252,0.9136690647482014,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
raichur,7875,2.813494589433482,308.60909137367383,261.56142913051985,69580.13508144353,35958.902178225915,479,2,2287,374,0.0006365372374283895,0.008582272335348017,0.880891719745223,0.8670916334661355,0.0,0.0,0.0,0.0,0.0,0.0
raiganj,9505,2.821648216482165,160.43307875845602,143.26496331935925,54432.503777005004,27216.251888502564,87,0,697,29,0.0,0.005894752863682547,0.964329643296433,0.9142504626773597,0.0,0.0,0.0,0.0,0.0,0.0
raigarh,8867,2.552175073392047,270.09346629899807,200.02918841198814,61665.08052196612,32978.89071934297,972,4,2501,270,0.0010675206832132373,0.00818988936279113,0.9278653486508148,0.7061890121641492,0.0,0.0,0.0,0.0,0.0,0.0
raipur,8513,2.6940208447613823,151.8221677766596,119.04257082828153,41102.875211664235,22806.605851554414,1968,7,6004,1119,0.0007679648930334613,0.006656938290811562,0.8752744839701362,0.7809565647136346,16.0,1.0,0.001755348326933626,0.00010970927043335162,0.0,0.0
raiwind,6515,2.6485849056603774,176.26360950191042,135.93915166774696,74977.69930002447,40134.157156174624,97,1,281,44,0.0023584905660377358,0.004391860250509642,0.8936170212765957,0.7217598097502973,1.0,0.0,0.0023584905660377358,0.0,0.0,0.0
rajam,9176,2.4017094017094016,114.13697244150603,76.09131496100402,82977.37117715315,41920.86230813735,39,0,70,8,0.0,0.0027226771148586475,0.9316239316239316,0.6462882096069869,0.0,0.0,0.0,0.0,0.0,0.0
rajamahendravaram,8863,2.9426934097421205,337.2081844110738,294.45327850795053,71278.68542968456,37446.65983576145,885,2,4735,1347,0.00028653295128939826,0.009005027040864162,0.8053883634279163,0.9374238405849044,9.0,1.0,0.0012893982808022922,0.00014326647564469913,1.0,0.00014326647564469913
rajanpur,6299,3.0,70.258641259679,61.37536477857015,65043.027366443275,33424.40586690855,11,0,54,22,0.0,0.0021020161596720485,0.7471264367816092,0.9171597633136095,0.0,0.0,0.0,0.0,0.0,0.0
rajapalaiyam,8246,2.6958637469586373,57.35636026948889,44.37791378515199,36902.55105795566,18453.82991053102,93,0,257,61,0.0,0.003108100624508163,0.851581508515815,0.8433292533659731,0.0,0.0,0.0,0.0,0.0,0.0
rajgarh,6720,2.968208092485549,157.44240904639955,135.60068756019385,66249.39453483607,33141.327235632525,48,0,214,83,0.0,0.004750636808447502,0.7572254335260116,0.9650655021834061,1.0,0.0,0.002890173410404624,0.0,0.0,0.0
rajgarh,7022,2.511627906976744,36.00619604582713,25.957955288852116,49963.22590316052,25039.504215994777,12,0,28,3,0.0,0.0014379755978885169,0.9302325581395349,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0
rajgir,9065,2.479591836734694,53.434034591197666,37.076677063280016,54615.78170021662,27307.890850108302,30,0,59,9,0.0,0.0019567250683875407,0.9081632653061225,0.7382198952879581,0.0,0.0,0.0,0.0,0.0,0.0
rajim,8611,2.4363636363636365,10.598353048837739,7.322498470106074,25334.47617014242,12667.238085071214,17,0,35,3,0.0,0.0008366743387675227,0.9454545454545454,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rajkot,6522,2.88269218970489,284.4749615951767,240.89351616274794,57303.65794144093,30047.98240077838,2497,11,10716,3059,0.0006748880299404872,0.009467356503370673,0.8112107072691552,0.9099505695250376,14.0,2.0,0.0008589484017424381,0.00012270691453463402,0.0,0.0
