city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
itapira,1301,3.0808351177730193,265.7971094969145,247.0148726373895,69556.02839092567,37470.09127135489,132,0,1325,407,4.0,0.0,0.0021413276231263384,0.0070935805192476505,0.7799785867237687,0.8630393996247655,0.0,0.0
itapoa,1231,3.069289489136817,304.46099426090956,297.13104665979546,67750.834398129,36453.17151586815,41,1,1460,201,0.0,0.0005871990604815032,0.0,0.008352112631088272,0.881903642773208,0.8823183289202706,0.0,0.0
itarsi,7571,2.8989690721649484,156.1518481605185,132.32661771953218,52232.56815785458,26249.046472990078,74,0,312,99,0.0,0.0,0.0,0.005948857925989681,0.7958762886597938,0.927461139896373,0.0,0.0
itatiba,1304,2.8270120259019427,210.82775032480347,177.77011509811135,52497.09054072128,28967.01986386469,339,3,1522,289,9.0,0.0013876040703052729,0.004162812210915819,0.0072781995288304915,0.8619731357109773,0.7182935311847902,0.0,0.0
itaugua,1079,3.0342245989304812,214.93848094399522,189.8814815612193,79994.9912093617,42218.206312267495,109,0,579,244,3.0,0.0,0.0032085561497326204,0.005091132469110602,0.7358288770053476,0.8991957104557641,0.0,0.0
itauna,1340,3.182559087204564,208.6322168570769,196.55977399085648,56304.56230772581,31000.924741140505,142,3,1581,722,5.0,0.0012224938875305623,0.002037489812550937,0.006729870757055406,0.7029783761729906,0.9219930569736573,1.0,0.00040749796251018743
itawa,7112,2.7,25.002604497558035,20.83550374796503,29073.870264111905,14536.935132055949,5,0,24,1,0.0,0.0,0.0,0.0017199364426153242,0.9666666666666667,0.9272727272727272,0.0,0.0
itay el barud,3827,2.9892836999435985,317.62498260573676,293.0820482475947,98095.98253062584,51818.60908735722,137,0,1383,251,2.0,0.0,0.0011280315848843769,0.006129554385959607,0.8573040045121263,0.9076532053092347,0.0,0.0
itu,1292,2.9657121326299927,173.29595215130047,153.44592598174683,41893.1755590596,24453.671663174788,304,15,1811,516,8.0,0.005651846269781462,0.003014318010550113,0.007086704791749938,0.8014399393709739,0.7545989000568936,0.0,0.0
ituiutaba,1189,3.4032428621783573,419.6675854096413,408.72102167318957,117565.7466062761,66622.34589781823,74,6,1476,1266,13.0,0.0021149101163200562,0.004582305252026789,0.006299201562990664,0.5475097138820205,0.9439632313947321,2.0,0.0007049700387733521
itumbiara,1193,3.361479413817167,434.3726054424378,423.157122957183,113075.26237376856,63576.1149342727,74,0,1619,1162,11.0,0.0,0.0038381018841591066,0.006832323835633996,0.5907187718073971,0.9526802863628426,0.0,0.0
ivanovo,3833,2.9129725319553983,58.65873404330516,47.57148352383356,22678.649965664936,12435.700432988693,695,7,1916,1042,16.0,0.0019037258634756595,0.004351373402230079,0.004716962615768609,0.7114441416893733,0.8148602590320382,1.0,0.0002719608376393799
ivano frankivsk,3376,2.7154271665642287,52.167280644665624,42.16347513689938,21441.256286659973,10884.694802068347,312,1,1155,156,3.0,0.0006146281499692685,0.0018438844499078057,0.004792718729674682,0.9022140221402214,0.7727132737911919,0.0,0.0
iwakuni,12785,3.0056956875508543,95.10779011591315,83.80938705901866,30024.501455767706,15290.779250241188,292,1,1582,568,14.0,0.0004068348250610252,0.005695687550854353,0.006219943964884129,0.7627187627187627,0.9525361580770014,1.0,0.0004068348250610252
iwambi,4492,2.8213028169014085,248.144582609941,212.7577671321149,80455.23999076182,40227.619995380825,162,0,853,121,0.0,0.0,0.0,0.006168512644755878,0.8934859154929577,0.8685487428319365,0.0,0.0
iwere,2148,2.890322580645161,125.45277785373389,115.20072288934273,48614.53482123189,24351.243465490337,38,0,402,25,0.0,0.0,0.0,0.00515180171523975,0.946236559139785,0.9091891891891892,0.0,0.0
iwo,2212,2.6434676434676434,128.6382655852192,102.35564070781585,38658.88230475724,19417.595458407468,502,0,1828,126,1.0,0.0,0.000407000407000407,0.006624829828222688,0.9483109483109483,0.8038297005500102,0.0,0.0
izbat abu sir,3977,2.6720075400565504,378.901767083984,304.62130756139334,88105.09510888341,44052.54755444175,208,0,785,68,0.0,0.0,0.0,0.008601131787343815,0.9359095193213949,0.8181388757675957,0.0,0.0
izbat al hawwashah,3986,3.0302267002518892,311.5862225113772,288.5638987657842,112255.24922392485,60272.8569213204,88,0,894,206,3.0,0.0,0.0025188916876574307,0.005169594381731709,0.8245172124265323,0.8704249053428692,0.0,0.0
izbat bahnasi,3794,2.5174506828528074,216.3385067945381,157.90413014897243,63643.25046461882,32722.64392622228,178,0,443,38,0.0,0.0,0.0,0.006611278333202633,0.9423368740515933,0.7265803503427266,0.0,0.0
