city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop
qiaojia,10400,2.4936170212765956,102.96277818361476,72.73115395097894,60302.5502950354,30202.86344264302,69,4,139,23,0.01702127659574468,0.0034090402845129903,0.9004329004329005,0.7527352297592997,0.0,0.0,0.0,0.0,0.0,0.0
qiaotou,11512,2.3,6.124047357314384,3.6744284143886303,14421.645889519941,8408.455425062926,4,0,5,1,0.0,0.0007283201310743173,0.9,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
qiaotou,12557,2.7548387096774194,29.513047092613462,23.229624163218336,25605.72396399998,14258.947662425155,33,1,92,29,0.0064516129032258064,0.0020697913893313147,0.8116883116883117,0.8448844884488449,0.0,0.0,0.0,0.0,0.0,0.0
qichun,11809,3.007712082262211,46.774056993106356,40.76196740530349,25113.065749509697,13839.81255557883,50,1,235,102,0.002570694087403599,0.0033796741686542373,0.7345360824742269,0.8223086900129701,1.0,0.002570694087403599,0.0,0.0,0.0,0.0
qidong,11643,2.8290598290598292,36.28782536892296,28.844168882990044,25960.76991471547,14374.086193711952,72,0,195,84,0.0,0.0025245309426902792,0.7606837606837606,0.8020086083213773,0.0,0.0,0.0,0.0,0.0,0.0
qidong,12419,3.185589519650655,13.083030671922671,11.197703107846479,14349.870786924219,8880.019629360326,66,0,179,209,0.0,0.0014733110080822097,0.5349344978165939,0.8079034028540066,4.0,0.008733624454148471,0.0,0.0,0.0,0.0
qijiang,10665,2.9178403755868545,85.8236970292215,72.92999606708494,50915.454230235875,33779.03865905194,64,3,267,88,0.007042253521126761,0.0025407382932202812,0.7825059101654847,0.6409036860879905,4.0,0.009389671361502348,0.0,0.0,0.0,0.0
qila didar singh,6468,2.6,35.79937677022939,25.334943560470027,31861.302127997056,15930.651063998537,19,0,34,12,0.0,0.002247201111016229,0.8153846153846154,0.784,0.0,0.0,0.0,0.0,0.0,0.0
qin,10678,2.7804878048780486,13.527164854977574,10.88771805400634,16321.132790018055,8160.566395009034,8,0,26,7,0.0,0.0016576257333376673,0.8292682926829268,0.961038961038961,0.0,0.0,0.0,0.0,0.0,0.0
qing,10977,2.8870558375634516,55.35838987812487,46.29591234731509,25024.261005624543,14505.371187052175,129,0,492,165,0.0,0.0038164062928316535,0.7880710659898477,0.7867600254614895,2.0,0.0025380710659898475,0.0,0.0,0.0,0.0
qingdao,11771,3.0485905300158525,38.1621574327827,32.96480247467541,17424.27153419041,11103.828725660276,1976,35,7908,4497,0.002412295816389827,0.0034368467287857435,0.6828796462622634,0.7768717824689908,85.0,0.005858432696946723,7.0,1.0,0.0004824591632779654,6.892273761113791e-05
qinggang,10892,3.101123595505618,13.342933275223002,12.143568486438912,16175.47819419475,8087.739097097375,8,0,56,25,0.0,0.0016497729606549344,0.7191011235955056,1.0404624277456647,0.0,0.0,0.0,0.0,0.0,0.0
qinghe,11023,3.0855661192739845,46.03595730419278,41.10211226899839,22554.380168945212,13432.447301033973,124,0,689,341,0.0,0.0034272203919719917,0.7026793431287813,0.7999133824166306,3.0,0.0025929127052722557,0.0,0.0,0.0,0.0
qingshui,10273,2.7653061224489797,32.492831513713334,26.8563199245998,31190.603042758034,15940.809071887508,17,0,71,9,0.0,0.0020383426818037878,0.8979591836734694,0.7591623036649214,1.0,0.01020408163265306,0.0,0.0,0.0,0.0
qingtian,12539,2.8177083333333335,48.82505332941911,40.17895013566781,32559.160497678473,18100.432670682592,34,0,126,31,0.0,0.002697452277397845,0.8333333333333334,0.712401055408971,1.0,0.005208333333333333,0.0,0.0,0.0,0.0
qingtongxia,10148,3.341463414634146,20.134827082464657,18.41600038030304,21057.83517992537,12215.873868799497,14,0,72,73,0.0,0.0016482510624058519,0.524390243902439,0.8452012383900929,4.0,0.024390243902439025,1.0,0.0,0.006097560975609756,0.0
qingxu,10553,2.9672131147540983,13.814244950126202,11.398639275787195,13440.605707335046,8675.009531076783,32,3,87,61,0.01639344262295082,0.001592418417598155,0.6611111111111111,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0
qingyang,10305,2.9712328767123286,58.619312580000404,47.77875477410992,27180.03585577111,17595.98711035478,135,3,358,218,0.00410958904109589,0.0033314023369285413,0.6781292984869326,0.6873706004140787,14.0,0.019178082191780823,2.0,0.0,0.0027397260273972603,0.0
qingyang,12094,3.4124293785310735,31.25721791184867,29.314678945575587,23856.21544131773,17186.237711108344,11,0,72,93,0.0,0.0018187353414555374,0.4689265536723164,0.7277936962750716,1.0,0.005649717514124294,0.0,0.0,0.0,0.0
qingyang,12301,2.787878787878788,40.31432782868769,32.09598000686155,28265.61343474518,15776.987207537217,74,0,219,69,0.0,0.0025552614893056473,0.8071625344352618,0.7434119278779473,1.0,0.0027548209366391185,0.0,0.0,0.0,0.0
