city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop
yokoo,12815,2.9275741710296685,203.66159888825692,176.47117600003415,53598.669855132415,27689.201028955133,612,4,3092,857,18.0,1.0,0.0008726003490401396,0.003926701570680628,0.0002181500872600349,0.00735527177816666,0.8087336244541484,0.9068268705625341,0.0,0.0
yola,3018,2.9078125,749.5418067536494,667.9510579976533,190480.89968228515,95951.3256359059,209,0,1478,225,8.0,0.0,0.0,0.004166666666666667,0.0,0.007811687871805324,0.8786458333333333,0.8980443285528031,0.0,0.0
yonago,12771,3.1160194937902848,136.70529622770005,126.92681646294554,41676.010972348355,21507.66568541975,455,4,4259,1636,5.0,2.0,0.0006288319446627889,0.0007860399308284861,0.00031441597233139445,0.00635611963786353,0.7415447538146924,1.0149500354079786,0.0,0.0
yonan,12316,2.4850299401197606,126.43219399462852,87.06408568492382,61942.84455341371,30971.422276706835,52,0,97,18,0.0,0.0,0.0,0.0,0.0,0.004082221115486723,0.8922155688622755,0.7416413373860182,0.0,0.0
yongcheng,11508,3.068527918781726,10.878558804513014,9.111483262663185,12918.01018312969,7922.421443819075,64,0,177,151,2.0,0.0,0.0,0.005076142131979695,0.0,0.0013731355850805265,0.6116751269035533,0.7394636015325671,0.0,0.0
yongchuan,10560,3.247826086956522,27.937215180548634,25.81155750376776,25269.557491541393,16060.372444928911,35,0,244,178,3.0,0.0,0.0,0.006521739130434782,0.0,0.0017395122856798911,0.6065217391304348,0.7639344262295082,0.0,0.0
yongchun,12521,3.0366666666666666,23.360370138616137,21.102201025216576,19134.85255712319,12372.397221218522,29,0,204,65,2.0,0.0,0.0,0.006666666666666667,0.0,0.001888103794352267,0.7766666666666666,0.7932773109243697,0.0,0.0
yongfeng,12091,2.7579617834394905,29.570033804300856,22.6012997230325,23614.210495381463,13673.842647339809,37,4,77,38,1.0,0.0,0.025477707006369428,0.006369426751592357,0.0,0.002162525528992656,0.7450980392156863,0.6943521594684385,0.0,0.0
yongji,10615,2.962025316455696,5.958476854060045,4.827120489365099,13294.336260932982,7136.1618093467005,15,0,38,25,1.0,0.0,0.0,0.012658227848101266,0.0,0.0008349694153873916,0.6708860759493671,0.9281045751633987,0.0,0.0
yongjia,12581,2.917910447761194,33.514410791367276,28.5122599269841,25160.350146311364,13763.576671532714,20,2,81,31,0.0,0.0,0.014925373134328358,0.0,0.0,0.0024350073815249877,0.7651515151515151,0.8146718146718147,0.0,0.0
yongkang,12475,3.2354545454545454,25.53878762531428,22.915257623804724,14074.671357711051,10422.815687771283,113,10,490,479,8.0,0.0,0.00909090909090909,0.007272727272727273,0.0,0.002450277198634341,0.5532110091743119,0.6560919540229885,0.0,0.0
yongnian,10889,3.0058034095030832,40.59155471282165,35.02622729844131,20958.82610652597,12742.483040512025,378,0,1616,756,6.0,0.0,0.0,0.002176278563656148,0.0,0.003185529428116122,0.7232499093217265,0.8119440914866582,1.0,0.0003627130939426913
yongning,10146,3.0327868852459017,15.823039018666682,12.969704113661214,15201.661661854532,9891.400352617331,22,2,49,48,1.0,0.0,0.01639344262295082,0.00819672131147541,0.0,0.001599676330407534,0.5916666666666667,0.7617021276595745,0.0,0.0
yongqing,10837,3.3214285714285716,13.828359765156613,12.346749790318404,17950.761233076955,13285.759621471445,6,1,18,31,0.0,0.0,0.017857142857142856,0.0,0.0,0.0010408407316664272,0.43636363636363634,0.6,0.0,0.0
yongshan,10392,2.6041666666666665,32.199207601108995,24.149405700831743,45088.033874877685,22544.016937438813,24,0,62,10,0.0,0.0,0.0,0.0,0.0,0.0014282817339280746,0.8958333333333334,0.7967914438502673,0.0,0.0
yongshun,11109,2.76,11.841729171466088,8.999714170314228,21955.616008441066,12930.193917764742,6,0,13,6,0.0,0.0,0.0,0.0,0.0,0.0009158199209368998,0.76,0.7333333333333333,0.0,0.0
yongxing,11870,2.7906976744186047,20.218344355281573,16.926985971863644,23865.79621278367,11932.898106391827,14,0,62,10,0.0,0.0,0.0,0.0,0.0,0.0016943364616891908,0.8837209302325582,0.9041916167664671,0.0,0.0
yongxiu,11984,2.8714285714285714,20.89041297163101,17.159982083839758,25287.348605634037,15725.843594392922,25,3,77,35,0.0,0.0,0.02142857142857143,0.0,0.0,0.0013284128667717086,0.7445255474452555,0.6431226765799256,0.0,0.0
yongzhou,11595,3.015267175572519,23.290373599622626,19.260487073479272,15822.21449847743,11311.29298147222,68,1,181,143,0.0,0.0,0.002544529262086514,0.0,0.0,0.0020590372504515637,0.6352040816326531,0.5661103979460848,0.0,0.0
yong an,12414,2.684563758389262,27.403997892648263,21.334656077497975,19867.552519686527,11058.298393770841,66,3,189,39,1.0,0.0,0.010067114093959731,0.003355704697986577,0.0,0.0024781387621159675,0.864406779661017,0.7230769230769231,0.0,0.0
