city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
iguatu,1397,3.185207456404089,317.69310796652366,294.7687706508395,74589.16256963182,41212.77816647536,120,0,995,548,0.0,0.007708606944264484,0.6704750450992183,0.9346582354712436,0.0,0.0,0.0,0.0
ihnasya al madinah,3925,2.5684024713150926,378.31497492810274,285.15532973398035,85344.7279793583,43943.08542437286,279,0,786,67,0.0,0.008609203729655993,0.9399823477493381,0.7151702786377709,1.0,0.00088261253309797,0.0,0.0
iizuka,12748,2.8713313896987365,218.51433259702497,188.44472181399414,50805.35101508732,26398.08395496884,708,3,3702,710,0.0005830903790087463,0.008277658824397164,0.8576429404900817,0.8866621266660181,19.0,0.0036929057337220603,3.0,0.0005830903790087463
ijagbo offa,2257,2.7528256989886972,173.5731416690743,146.3652161308226,43345.60659962547,21822.720569994628,527,0,2613,221,0.0,0.007953781065580359,0.9339678762641285,0.8545914570620629,1.0,0.000297441998810232,0.0,0.0
ijebu igbo,2204,2.5404255319148934,216.52056644577837,159.39599146859427,53859.80758939526,27003.623848446277,434,0,1099,112,0.0,0.008018204062572011,0.9319148936170213,0.7299847792998478,0.0,0.0,0.0,0.0
ijebu ode,2192,2.8366643694004137,128.3795356365747,113.73665958705497,46720.41244165937,24623.992020716374,331,0,2383,188,0.0,0.005213595566818244,0.9352170916609235,0.8273840317296085,0.0,0.0,0.0,0.0
ijero ekiti,2303,2.629850746268657,127.01302164457267,101.23127396746538,42138.839482669246,21311.11983437402,68,0,255,12,0.0,0.005959941224660824,0.9641791044776119,0.7563909774436091,0.0,0.0,0.0,0.0
ijui,1136,3.2741251325556733,221.3336437233421,201.61781543833604,69202.99748318046,35953.61722806498,168,1,874,833,0.0005302226935312832,0.006156088337909201,0.5527851458885942,1.042231075697211,9.0,0.004772004241781549,1.0,0.0005302226935312832
ikerre,2321,2.610294117647059,86.38920728097938,66.95163564275902,31073.695150007698,15905.788120415928,153,0,486,41,0.0,0.005431306303526968,0.9397058823529412,0.7490774907749077,0.0,0.0,0.0,0.0
ikire,2214,2.649114408808042,143.80564006814345,115.16842308951841,40779.73883433992,20617.613975657154,416,0,1574,99,0.0,0.006974892450597445,0.9526089037817137,0.7936736161035226,0.0,0.0,0.0,0.0
ikole,2349,2.6571969696969697,95.77294651186223,74.55053222798367,39553.415922952416,19792.28185787969,117,0,358,53,0.0,0.004838903730230235,0.8996212121212122,0.8125594671741199,0.0,0.0,0.0,0.0
ikolo,2571,2.8653846153846154,95.97530120274212,86.7469068563246,73682.36372494997,36841.18186247496,15,0,132,9,0.0,0.0026051091835492647,0.9423076923076923,0.8957654723127035,0.0,0.0,0.0,0.0
ikom,2758,2.5972602739726027,591.7519244765349,447.46172919321543,191509.7007514701,95980.19802007612,178,0,491,60,0.0,0.0061653542781059745,0.9164383561643835,0.786254295532646,1.0,0.0013698630136986301,0.0,0.0
ikorodu,2165,2.6416628317226567,147.71305334143855,117.2520038897833,41093.85712025857,20737.18054078308,4033,2,14464,1056,0.00010226517359513218,0.007123102055794736,0.945896190232677,0.8050377189617696,2.0,0.00010226517359513218,0.0,0.0
iksan si,12547,3.1554285714285712,88.0758914250947,81.88541448493089,32033.81924912838,16564.48745704117,123,2,1119,493,0.001142857142857143,0.00531715162654524,0.7105263157894737,1.0312231452305929,12.0,0.006857142857142857,1.0,0.0005714285714285715
ilam,5488,2.891546762589928,434.07370467016887,372.31969380792003,70947.80794038727,41106.90677540228,791,3,3806,940,0.000539568345323741,0.010559629481289787,0.8272449163217563,0.7787379602124403,18.0,0.003237410071942446,2.0,0.00035971223021582735
ilaro,2124,2.7989510489510487,82.9264527689866,72.48815801484841,40995.74111994758,20777.655495572955,72,0,471,29,0.0,0.003991136188905217,0.9493006993006993,0.8147497805092186,0.0,0.0,0.0,0.0
ilave,811,3.1938610662358644,602.0955340729948,546.6521650226545,169481.98389358755,86197.73582883495,57,2,326,232,0.0032310177705977385,0.006985050457341379,0.6207455429497569,1.033360455655004,2.0,0.0032310177705977385,0.0,0.0
ilawe ekiti,2307,2.4745098039215687,133.63512497249033,96.42691370564008,53816.09374551232,26953.218951382376,71,0,176,8,0.0,0.004958039528174294,0.9686274509803922,0.693069306930693,0.0,0.0,0.0,0.0
ila orangun,2283,2.6575342465753424,123.36638286262178,99.39981284198791,38227.88780474668,19118.074371721304,156,0,610,37,0.0,0.006452866563020617,0.9539227895392279,0.7951280449718926,0.0,0.0,0.0,0.0
