city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
dakhla,1486,3.2076691081430417,473.9873901073594,465.20606405194513,86551.80407411212,44280.49523388043,43,3,1707,566.0,1.0,1.0,0.0012925463162429987,0.00043084877208099956,0.00043084877208099956,0.010704202552474987,0.7549611734253667,1.0570071258907363
dakingari,2206,3.0823529411764707,110.28991346854339,105.09979989355311,53026.15579740898,26564.169701118808,8,0,135,25.0,1.0,1.0,0.0,0.0058823529411764705,0.0058823529411764705,0.004151829878721874,0.8411764705882353,1.008955223880597
dakpathar,6968,2.724381625441696,174.97022483783516,139.72887213198143,100696.72458673472,50348.36229336737,57,0,191,34.0,1.0,0.0,0.0,0.0035335689045936395,0.0,0.0034751919797972224,0.8763250883392226,0.8128342245989305
dalad,10214,2.9421383647798742,48.978116136241916,40.22982369429682,22423.14652847089,14104.44391550306,142,3,410,239.0,1.0,0.0,0.0037735849056603774,0.0012578616352201257,0.0,0.0034725308157953724,0.696969696969697,0.8074730842305257
dalat,12045,2.4224270353302613,229.88729839651072,158.9965531536543,66798.64080186817,33803.021124498795,803,1,1698,101.0,1.0,0.0,0.00038402457757296467,0.00038402457757296467,0.0,0.006800791489903235,0.9608144448713023,0.6719861565083638
dale city,856,2.511627906976744,110.99917638921094,74.81759201529735,34445.862640453546,19819.96249342749,1710,12,2682,815.0,26.0,1.0,0.002287457110179184,0.004956157072054899,0.00019062142584826535,0.005600372676084501,0.8391287734046619,0.6324190002867246
dali,10272,2.7494587070832046,89.950033251991,71.22551349368914,32109.764854207384,18325.142973963917,673,6,2023,522.0,7.0,2.0,0.0018558614290133002,0.0021651716671821837,0.0006186204763377668,0.004908558333203219,0.8354508831732259,0.7329818576523492
dali,10563,3.110169491525424,18.077776595968615,15.779754147328537,17271.954954956927,11551.977305540238,15,0,60,43.0,0.0,0.0,0.0,0.0,0.0,0.0015649075580592298,0.635593220338983,0.6277056277056277
dalian,11540,3.030859375,22.346910912666768,19.748500568264237,12972.687719251018,8099.335321531051,893,36,4780,1899.0,56.0,16.0,0.0046875,0.007291666666666667,0.0020833333333333333,0.002759104299986241,0.7421507064364207,0.777988614800759
daloa,1590,3.1137162954279014,150.91874365770605,138.06204724606872,53525.26200422917,26850.054001760018,218,1,1621,713.0,3.0,3.0,0.00039077764751856197,0.0011723329425556857,0.0011723329425556857,0.005620798514886165,0.718921032056294,1.0293484640970456
damagum,2944,1.8571428571428572,13.503658988048784,5.787282423449479,23489.19523173516,17496.093896178125,8,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0007718099290149869,1.0,0.30434782608695654
damak,9347,2.710769230769231,403.90730998241526,325.61143143197785,125231.1787249308,62682.8520467968,126,0,460,64.0,0.0,0.0,0.0,0.0,0.0,0.0064436651618990206,0.9015384615384615,0.8054054054054054
daman,6799,2.6505190311418687,142.1652890971793,108.71463283901947,55663.24922476346,29745.942212173653,136,1,370,71.0,0.0,0.0,0.0017301038062283738,0.0,0.0,0.00477931706056356,0.8769497400346621,0.7580504786771105
damanhur,3804,2.865331107401224,309.67249555782337,269.29042091913857,65538.15426605102,35512.42346477409,703,3,4011,665.0,9.0,0.0,0.0005564830272676684,0.001669449081803005,0.0,0.008720117225032457,0.8749072011878248,0.8184012626497076
damascus,4407,2.845336008024072,124.631917550478,107.79348295263507,36849.776097964765,20921.93776671474,2694,37,14929,2224.0,51.0,5.0,0.001855566700100301,0.0025576730190571715,0.00025075225677031093,0.005956996858520351,0.8854444053660252,0.7614130298233712
damask,3009,3.2805755395683454,209.05916407157994,184.24278848034925,75793.12903491646,37896.564517458224,33,0,101,144.0,0.0,0.0,0.0,0.0,0.0,0.005516572985798498,0.48201438848920863,1.1379310344827587
damaturu,2981,3.052984574111335,328.91190302365305,306.30058842947165,87034.90001451429,46543.60954113062,205,0,2214,558.0,5.0,0.0,0.0,0.001676727028839705,0.0,0.0070667467836372545,0.8112005365526492,0.9370699781842591
dambai,1972,2.816793893129771,103.39915881178912,85.2451080280399,46852.92458779323,23426.46229389662,23,0,88,18.0,2.0,0.0,0.0,0.015267175572519083,0.0,0.0044137760757298845,0.8473282442748091,0.9027237354085603
dambarta,2735,2.7457627118644066,17.96123002491298,13.39481561179951,19166.58503538521,9583.2925176926,15,0,29,15.0,0.0,0.0,0.0,0.0,0.0,0.0018742232893082516,0.7457627118644068,0.8495575221238938
damietta,4000,2.9562789213339715,435.54756413447046,376.78651969922316,68302.20365356465,37427.179927721685,1691,1,8016,2817.0,9.0,0.0,7.978299026647519e-05,0.0007180469123982767,0.0,0.011637199622723048,0.7745152796616931,0.8744663022225769
