city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
chemnitz,2852,2.6899653979238756,75.98118473277357,58.6027891935475,26068.65110364408,14823.443545349564,661,54,1707,457,10.0,1.0,0.018685121107266434,0.0034602076124567475,0.00034602076124567473,0.005125744534346778,0.8349788434414669,0.6936650785247926
chenab nagar,6383,2.897304236200257,270.5625682026088,229.23144417679308,97638.49956941899,49922.033637792345,119,1,501,157,1.0,0.0,0.0012836970474967907,0.0012836970474967907,0.0,0.005419702453743501,0.7969151670951157,0.9342359767891683
chenaran,5912,2.9580838323353293,157.86246210190535,137.53885171154027,44994.883672557764,27105.832190186222,86,0,439,142,1.0,0.0,0.0,0.0014970059880239522,0.0,0.005823929735647817,0.7859281437125748,0.7250187828700225
chengalpattu,8695,2.7100093545369504,439.82158180053983,355.4778734103521,98819.86962372465,52770.632707185396,205,1,763,99,1.0,0.0,0.0009354536950420954,0.0009354536950420954,0.0,0.00833458988905874,0.9063670411985019,0.7860159549507274
chengannur,8007,2.4083503054989817,223.3256474035029,152.59827841929783,85442.18309170226,42836.28732671421,311,0,630,41,0.0,0.0,0.0,0.0,0.0,0.005213468798082069,0.9582484725050916,0.6503318019397651
chengcheng,10527,3.1538461538461537,6.027146168191779,5.09989291154689,9606.534134843085,5005.4058819658785,12,1,29,35,1.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0012041273595628193,0.5324675324675324,0.9463087248322147
chengde,10792,2.8502673796791442,39.061963276695145,32.37756314378474,23417.946946834672,14734.032697785373,64,0,241,66,3.0,0.0,0.0,0.008021390374331552,0.0,0.002651138631080032,0.8155080213903744,0.648721399730821
chengde,10848,2.7155963302752295,34.552641976852435,28.529704384557057,21893.478001959036,13147.030478780634,38,2,164,12,2.0,0.0,0.009174311926605505,0.009174311926605505,0.0,0.002628170827824622,0.9351851851851852,0.6838407494145199
chengfeng,10757,3.2758620689655173,6.355512553557619,5.844149474535742,8966.155779609693,5789.477529253326,7,1,41,37,1.0,0.0,0.011494252873563218,0.011494252873563218,0.0,0.0010977696210831126,0.5581395348837209,0.7664670658682635
chenggong,10504,3.051094890510949,68.20921534668246,58.25166566103538,32037.425052874245,22965.339733094803,140,5,486,322,6.0,0.0,0.005213764337851929,0.006256517205422315,0.0,0.002970093895383911,0.6561844863731656,0.5832895428271151
chenggu,10423,2.6506849315068495,89.1762946958098,68.00201467671342,48504.01282323642,24340.48273348035,104,0,279,55,0.0,0.0,0.0,0.0,0.0,0.0036637027980200147,0.8744292237442922,0.7657864523536165
chengjun,11683,2.7524752475247523,22.359099126589232,17.34121549421937,18680.531878049034,9608.272948639544,68,2,170,63,0.0,0.0,0.006600660066006601,0.0,0.0,0.00232706743928992,0.7906976744186046,0.8073701842546064
chengxian,10289,2.7486033519553073,69.11891304082343,53.67334588086288,46771.9363247945,24054.29881875666,40,0,106,31,2.0,0.0,0.0,0.0111731843575419,0.0,0.0028734536625497904,0.8156424581005587,0.7790368271954674
chengxiang,10844,2.6545454545454548,53.44528065154374,40.812759770269764,52020.783179958264,26010.39158997913,13,0,35,7,0.0,0.0,0.0,0.0,0.0,0.0020547664754164753,0.8727272727272727,0.8380952380952381
chengxiang,12186,2.6153846153846154,22.71793031086084,15.727797907519044,28545.836991195858,15047.106677980577,16,0,24,12,0.0,0.0,0.0,0.0,0.0,0.0015097872831662373,0.7692307692307693,0.8181818181818182
cheng an,10965,3.0742268041237115,43.930434752751594,40.12614968137929,24312.43943606247,14098.528121946487,42,0,323,120,0.0,0.0,0.0,0.0,0.0,0.0031159589407327736,0.7525773195876289,0.8694300518134715
chenjiafang,11518,2.640625,53.01725529136235,39.76294146852176,75513.36143693507,44874.9828557501,16,0,40,7,1.0,0.0,0.0,0.015625,0.0,0.0011814434662133565,0.875,0.5365853658536586
chenjiaqiao,10581,3.118279569892473,65.49118998091404,58.605616840746265,34513.867761281996,23288.809798120223,88,3,473,268,5.0,0.0,0.0035842293906810036,0.005973715651135006,0.0,0.0028121312573990034,0.6726618705035972,0.6969332531569453
chenxi,11243,2.5942028985507246,18.515697209232325,13.417171890748062,18461.909913869822,9230.95495693491,19,0,40,10,0.0,0.0,0.0,0.0,0.0,0.0020058268397596395,0.855072463768116,0.8120300751879699
chenyu,12626,2.6363636363636362,58.412338379611185,43.214143754195106,37791.6293337031,20771.656965595346,83,0,188,46,2.0,0.0,0.0,0.006269592476489028,0.0,0.0028121174192487918,0.8495297805642633,0.7093206951026856
