city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
honolulu,1,2.717268268142372,98.58969125059114,75.17913445507912,33927.09648223562,19715.37934482408,1888,31,4538,1438,47.0,9.0,0.003898880643944158,0.005911206137592755,0.0011319330901773362,0.00500064896171902,0.8113636363636364,0.7059046416166719
hoorn,2179,2.571306939123031,178.60306338649053,130.6258249885018,39873.07041292937,22755.130482474753,631,9,1446,262,1.0,0.0,0.0038314176245210726,0.0004257130693912303,0.0,0.007848914051450712,0.8876068376068376,0.6624598930481284
hopong,10233,2.8111658456486044,381.8768272003864,318.54421710639787,96366.38784168806,48183.193920843936,101,0,422,85,1.0,0.0,0.0,0.0016420361247947454,0.0,0.007925519172260339,0.8587848932676518,0.877164056059357
horana,8886,2.418293936279548,229.79992610027705,160.60015390358518,96213.80095343044,49964.043458626526,293,0,660,20,0.0,0.0,0.0,0.0,0.0,0.004599306024752906,0.9794450154162384,0.6646058732612056
horinger,10295,2.5061124694376526,128.83758147963385,92.92686194741317,49992.18176321835,29038.69618956844,114,0,269,26,0.0,0.0,0.0,0.0,0.0,0.004436755033303325,0.9364303178484108,0.6297662976629766
horlivka,4097,3.028524046434494,52.286234601193726,46.25120652782211,23842.35234986491,12294.96045107137,348,3,1891,763,8.0,2.0,0.0009950248756218905,0.0026533996683250414,0.0006633499170812604,0.004252655777891303,0.7433598937583001,0.9558066123940854
hosapete,7714,2.7905349794238683,809.4400845775862,670.5361688290868,173132.408812407,90382.84298271268,417,3,1683,326,1.0,0.0,0.0012345679012345679,0.00041152263374485596,0.0,0.008955682935669614,0.865265760197775,0.84079191585894
hoshangabad,7559,2.727447216890595,126.19406062820639,103.42584239586205,42337.51028057244,21181.028784311464,94,0,381,46,0.0,0.0,0.0,0.0,0.0,0.005957881551139614,0.9117082533589251,0.845708775313404
hoshiarpur,6637,2.5248364857698427,458.1432008170292,334.07118673682965,86064.78675384005,43367.3988696559,1532,1,3752,368,3.0,1.0,0.00017677214071062401,0.0005303164221318721,0.00017677214071062401,0.010564230568543304,0.9342291371994342,0.7516582647917219
hoskote,8151,2.740740740740741,298.463036520227,241.71821229292456,100910.21262779283,56754.2622917684,77,0,279,49,0.0,0.0,0.0,0.0,0.0,0.005258865580629983,0.8790123456790123,0.7975155279503106
hossana,4997,3.066822429906542,739.7226212372947,696.8601889786851,196413.81892299987,101202.99140238769,124,0,1625,391,0.0,0.0,0.0,0.0,0.0,0.007309296009799986,0.8172897196261683,0.9738011695906432
hosur,8153,2.5397475264414875,491.1079158889752,356.28083651265473,92875.83854990177,49145.46443330366,2414,7,5587,782,3.0,0.0,0.0007960877971113385,0.000341180484476288,0.0,0.009992944853649068,0.9106533120874117,0.7202140376842944
hotan,6706,3.1295418641390205,53.778051379033506,47.74607405215929,36769.97588963419,22526.63214556677,71,2,343,208,9.0,0.0,0.00315955766192733,0.014218009478672985,0.0,0.0023873098753298106,0.6561014263074485,0.7501988862370724
houma,10639,3.1491228070175437,11.09826136216374,9.443257474823533,9957.513522728977,6786.532402541185,17,0,46,51,0.0,0.0,0.0,0.0,0.0,0.0016353360897544743,0.5526315789473685,0.6143497757847534
houma,396,2.877669902912621,63.96790445332702,52.34189308083885,24982.58638509292,13325.88460319475,468,0,1493,607,7.0,0.0,0.0,0.0027184466019417475,0.0,0.004800274530217029,0.7615533980582524,0.8264334305150631
hounde,1695,3.111111111111111,176.96397116440298,159.57007656277364,102094.85285080639,51047.42642540324,23,0,141,68,2.0,0.0,0.0,0.008547008547008548,0.0,0.003466658038539993,0.7008547008547008,1.0647948164146868
hour,3934,2.4983853606027986,443.745605231236,323.3754302923001,95813.94849416944,47906.97424708476,252,0,639,38,0.0,0.0,0.0,0.0,0.0,0.009262651465788176,0.9590958019375673,0.7468969239071775
hpa an,10337,2.6847360912981455,170.05610322495315,124.2064548518916,74684.317326962,37691.01760007335,189,1,353,158,0.0,0.0,0.0014265335235378032,0.0,0.0,0.0045118469612405,0.7742857142857142,0.8193548387096774
hradec kralove,2992,2.828614008941878,87.54657586429288,72.34661150037319,25499.021179314535,14783.911591709475,233,29,825,245,10.0,0.0,0.021609538002980627,0.007451564828614009,0.0,0.005921746441813631,0.8057882711348058,0.7130866081648226
hrodna,3310,2.8073825503355705,47.119620480316,38.296550605142734,19244.715693910457,11066.183090203042,279,6,932,269,4.0,0.0,0.004026845637583893,0.0026845637583892616,0.0,0.004257983091029037,0.8160377358490566,0.683091461356733
