city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop
champaign,588,3.0745568300312827,61.377592131106326,55.025427356328116,25305.609834020983,13603.14692882598,397,20,2338,1063,17.0,1.0,0.005213764337851929,0.0044316996871741395,0.00026068821689259646,0.00451201420173174,0.7167190775681341,0.9440146846728726,0.0,0.0,0.0,0.0
chandausi,7323,2.4727272727272727,18.203239226839294,12.245815479873706,31040.49648340023,15520.248241700097,18,0,30,7,0.0,0.0,0.0,0.0,0.0,0.0011728703654320738,0.8727272727272727,0.780952380952381,0.0,0.0,0.0,0.0
chandpur,7166,2.758169934640523,101.41107341673045,85.50345405724332,80172.42637574468,40086.21318787237,24,0,118,11,0.0,0.0,0.0,0.0,0.0,0.0025298242301273603,0.9281045751633987,0.8704318936877077,0.0,0.0,0.0,0.0
chandrakona road,9589,2.605095541401274,156.94271295297145,115.95767326461586,97792.25798342991,48896.12899171496,41,0,96,20,0.0,0.0,0.0,0.0,0.0,0.0032097165192681017,0.8726114649681529,0.8090614886731392,0.0,0.0,0.0,0.0
chandrapur,8091,2.768807050676739,746.7642062137841,626.0643573340932,133895.59408903675,70124.76632585171,1027,4,4735,587,1.0,0.0,0.0006295247088448222,0.00015738117721120554,0.0,0.010649079424290175,0.9074015748031496,0.8451358802678219,0.0,0.0,0.0,0.0
chandrapur,8979,2.6785714285714284,15.912138928214354,12.50239487216842,25378.06238222165,15271.476718762462,12,2,34,8,0.0,0.0,0.03571428571428571,0.0,0.0,0.0010419515559136974,0.8518518518518519,0.8058252427184466,0.0,0.0,0.0,0.0
chandur bazar,7664,2.923076923076923,188.6051594843333,171.376803569899,71293.86559443444,35646.93279721725,19,0,167,22,0.0,0.0,0.0,0.0,0.0,0.0052909225193999475,0.8942307692307693,0.975669099756691,0.0,0.0,0.0,0.0
changchun,11248,3.18186889818689,24.28799920608754,22.191169149104528,13981.356767460631,9503.313111593714,619,28,4043,2405,63.0,9.0,0.003905160390516039,0.008786610878661089,0.0012552301255230125,0.0025557401845948883,0.6527583309997199,0.694306323972267,3.0,0.00041841004184100416,0.0,0.0
changde,11349,3.3229398663697105,32.806469055566495,30.32223754579086,24817.755473591256,18017.343785145375,68,6,397,423,3.0,1.0,0.0066815144766146995,0.0033407572383073497,0.0011135857461024498,0.0018208271677989628,0.5213004484304933,0.6481169196177627,0.0,0.0,0.0,0.0
changfeng,11814,3.03125,17.77198321106053,15.328335519539708,16062.445384761582,9350.94667329384,22,0,92,44,1.0,1.0,0.0,0.00625,0.00625,0.0019005544392437872,0.7125,0.8317460317460318,0.0,0.0,0.0,0.0
changge,11103,3.0458452722063036,8.988694700525452,7.417604795849083,9732.80684414194,6239.947431146349,61,3,147,135,3.0,0.0,0.008595988538681949,0.008595988538681949,0.0,0.0014405080811512746,0.6011560693641619,0.6826783114992722,0.0,0.0,0.0,0.0
changji sanji,6984,3.284818067754078,29.626152561293807,26.94976236755083,18404.818684551905,12714.642810156183,72,4,350,367,4.0,0.0,0.005018820577164366,0.005018820577164366,0.0,0.0023300813875501937,0.532156368221942,0.6907020872865275,0.0,0.0,0.0,0.0
changle,12600,2.6550324675324677,31.355038143190967,23.05816928387258,21138.19648570217,13947.923783021277,326,1,685,214,5.0,0.0,0.0008116883116883117,0.004058441558441558,0.0,0.002248007562341233,0.8212835093419983,0.592999592999593,1.0,0.0008116883116883117,0.0,0.0
changli,11128,2.8360128617363345,15.64751643220561,12.829957203255404,12897.003943294638,7426.378064815798,56,1,194,58,2.0,0.0,0.003215434083601286,0.006430868167202572,0.0,0.0021070185621628094,0.8064516129032258,0.7544715447154472,0.0,0.0,0.0,0.0
changning,10506,3.1550802139037435,64.41440992187628,59.24747864472043,38397.419076105805,25029.780421777,15,1,111,60,0.0,0.0,0.0053475935828877,0.0,0.0,0.0025735107874071857,0.6774193548387096,0.7874659400544959,0.0,0.0,0.0,0.0
changning,11728,2.883783783783784,45.54790827285263,37.053838892239575,29268.236818504443,18265.724473719296,69,0,206,95,0.0,0.0,0.0,0.0,0.0,0.002493627249134679,0.7432432432432432,0.6340136054421769,0.0,0.0,0.0,0.0
changping,10685,2.6232308443142998,59.47009395269518,43.47789201617246,25831.305583576384,15178.078901927178,551,3,1169,319,7.0,0.0,0.0014641288433382138,0.003416300634455832,0.0,0.003918156858780342,0.8406647116324536,0.6694396868118424,0.0,0.0,0.0,0.0
changqi,11877,2.5416666666666665,3.205202536313331,2.403901902234998,7972.032099959943,5380.713591770046,6,0,17,1,0.0,0.0,0.0,0.0,0.0,0.0005956835430184909,0.9583333333333334,0.37209302325581395,0.0,0.0,0.0,0.0
changsha,11626,3.019041168059005,59.847538120439566,51.41564293255194,23865.239894773793,17047.617622543396,1872,45,7450,3815,90.0,14.0,0.0033867690223526757,0.006773538044705351,0.0010536614736208324,0.003510610071479929,0.7039722096360066,0.6670946788020695,0.0,0.0,1.0,7.526153383005946e-05
changshou,10658,3.0985401459854014,84.33434474340511,72.94613030725186,45871.40980218982,33175.3094155354,74,4,267,200,3.0,0.0,0.0072992700729927005,0.005474452554744526,0.0,0.0025420816332737163,0.6268382352941176,0.5946445060018467,0.0,0.0,0.0,0.0
