city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop
aurangabad,9562,2.7027027027027026,25.474790521548645,19.966727706078668,38556.52691928445,19278.263459642196,24,0,72,15,0.0,0.0013214255824897548,0.8648648648648649,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.0
aurora business park,365,2.989913544668588,128.56514183033946,112.07768127861004,34054.90071399773,21982.35768485149,178,4,882,302,0.002881844380403458,0.005848560180554992,0.7658959537572254,0.6149113282663772,22.0,0.01585014409221902,0.0,0.0,0.0,0.0
ausa,7591,2.6710526315789473,60.682324753794944,47.90709848983811,46519.134032390546,23259.567016195266,16,0,53,7,0.0,0.0026089189326500705,0.9078947368421053,0.8639455782312925,0.0,0.0,0.0,0.0,0.0,0.0
avare,1240,3.183193277310924,250.2927437484023,231.4682054580813,61832.81316536634,35693.852975820504,179,7,1397,793,0.0029411764705882353,0.007012208626453242,0.6641382216603455,0.8380088588905295,4.0,0.0016806722689075631,0.0,0.0,0.0,0.0
avellino,3019,2.8031555221637867,165.805711733205,144.00556180584897,41416.00343710302,24803.36860326938,175,22,1025,108,0.01652892561983471,0.006684806180373008,0.9167303284950343,0.5641025641025641,1.0,0.0007513148009015778,0.0,0.0,0.0,0.0
avignon,2195,2.687189457766256,189.65636592319277,152.98701023054693,33947.89504697583,19870.71864322146,895,62,3292,360,0.013393821559732124,0.00954451468658335,0.9167943945697394,0.5884543761638734,17.0,0.00367249945992655,2.0,1.0,0.00043205875999135883,0.00021602937999567941
aviles,1647,2.7901150981719702,148.66662455830777,126.82460862794028,35447.44509684924,21178.096150011814,217,20,1106,127,0.013540961408259987,0.007019829521277569,0.9080301990391215,0.5637676177380543,4.0,0.002708192281651997,3.0,0.0,0.002031144211238998,0.0
awala,2481,2.0,5.2158042386177135,2.5035860345365024,9755.210465641307,4877.605232820655,13,0,11,1,0.0,0.0010693371008218067,0.96,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
awbere,2223,2.5806451612903225,81.93406693133839,63.432826011358756,52791.31309440641,30027.92280245011,21,0,69,3,0.0,0.002728595896238718,0.967741935483871,0.7403314917127072,0.0,0.0,0.0,0.0,0.0,0.0
awgu,2603,2.7556053811659194,365.2791215914582,311.2243636877895,141117.16673177635,72710.27436432343,66,0,357,23,0.0,0.005023762113194401,0.9484304932735426,0.8342728297632469,0.0,0.0,0.0,0.0,0.0,0.0
awka,2522,2.653462157809984,111.16083081406356,88.42745639637262,34616.0250586316,18237.40390925165,635,5,2266,199,0.001610305958132045,0.0060952113232340495,0.9358064516129032,0.7565778853914447,0.0,0.0,0.0,0.0,0.0,0.0
awlad sarhan,3935,2.573502722323049,436.0348058840323,328.147186037348,100283.10635852128,50141.55317926053,409,0,1131,113,0.0,0.008696076970834328,0.9316394434361767,0.774916691911542,0.0,0.0,0.0,0.0,0.0,0.0
ayacucho,663,3.1372549019607843,409.7913793669204,372.04743653049354,95188.67390013006,50662.77613911877,357,10,2272,1219,0.0025799793601651187,0.008088608848469795,0.6800310398344542,0.9554807816746473,17.0,0.0043859649122807015,1.0,0.0,0.00025799793601651185,0.0
ayagoz,6156,2.9516908212560384,77.4384844471765,64.34502089330608,40880.71212230859,20676.468712451177,70,0,224,120,0.0,0.003745247098240899,0.7101449275362319,0.9185905224787363,0.0,0.0,0.0,0.0,0.0,0.0
ayangba,2548,2.689969604863222,99.74670803757239,81.25263755036292,38098.74446986499,19307.54056561042,183,0,744,60,0.0,0.005166204763295227,0.939209726443769,0.7856780091416963,0.0,0.0,0.0,0.0,0.0,0.0
aydin,3567,3.228495809439788,361.3071553850443,348.07888282352747,88412.95711619775,51009.90958637993,166,7,3013,1322,0.0015438906043228936,0.00708307774537825,0.7022310580958693,0.9320366891369212,25.0,0.005513895015438906,1.0,0.0,0.00022055580061755624,0.0
aylesbury,1889,2.345820326049254,229.79321257236626,152.7969436355276,34140.88619766541,18037.51324769376,966,16,1839,62,0.005549774540409296,0.012739739088022409,0.978374607603767,0.5594344562750916,0.0,0.0,0.0,0.0,0.0,0.0
ayr,1703,2.545550847457627,151.11184822325242,113.01373394662733,36028.74804776188,18708.457355423652,476,11,1296,105,0.005826271186440678,0.008077194466247347,0.9440596696856686,0.7111229661242998,0.0,0.0,0.0,0.0,0.0,0.0
ayteke bi,5884,3.0416666666666665,90.0987066279681,76.27674595208663,43198.15252443975,21599.076262219878,81,0,264,182,0.0,0.004171414811177118,0.6534090909090909,0.9904852521408183,1.0,0.001893939393939394,0.0,0.0,0.0,0.0
azaadville,3671,2.922928709055877,201.04526807785737,186.32519064633794,71048.4246641225,35948.358967395776,38,0,445,36,0.0,0.005592613233338417,0.930635838150289,0.9312681510164569,0.0,0.0,0.0,0.0,0.0,0.0
