city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,7way_int_count,7way_int_prop
amarah,5580,3.0268535720317513,563.1369860223415,538.3136870269301,137336.13439241378,77521.5391667422,261,11,4961,685,2.0,1.0,0.0018577942915048134,0.00033778078027360244,0.00016889039013680122,0.0072642647717698445,0.8835871404399324,0.9010579771476936,4.6872440388469365e-05,7.918979622988573e-09,0.1307137710700325,2.2076299792270307e-05,0.039167319127466564,6.357178241451317e-06,0.0,0.0
amarillo,260,3.2434899730619575,69.48251757129968,63.617785468603934,29051.41052982114,15874.489710711934,564,10,3366,2722,17.0,3.0,0.00149655791679138,0.0025441484585453458,0.0004489673750374139,0.004376992195498015,0.5890287769784173,0.9847064997376115,5.399360026189689e-05,8.09014088431179e-09,0.13351575753159628,1.9981406395030872e-05,0.037101375878677935,5.753691704691542e-06,0.0,0.0
amasya,4192,3.0645526613816534,236.11038956491345,217.12529595323863,78114.85674391541,43834.1556031015,71,0,622,181,9.0,0.0,0.0,0.010192525481313703,0.0,0.005386447766960233,0.7848244620611552,0.8733674048835889,0.00035210117274291113,4.0148366333285194e-07,0.2594053923815221,0.0002937773413154271,0.07318753364886096,7.770169263545762e-05,0.0,0.0
ambad,7389,2.6333333333333333,57.68598191741942,45.187352501978545,42974.195194127584,21487.0975970638,13,0,43,4,0.0,0.0,0.0,0.0,0.0,0.0026846800344641326,0.9333333333333333,0.8434782608695652,0.00915014737549914,0.0001577611616465369,0.2195040494280705,0.003658400823801175,0.23391897180032756,0.0037007927829414977,0.0,0.0
ambah,7371,2.0,3.4895583740569625,1.395823349622785,14340.712823021438,7170.356411510718,3,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0004866645636268657,0.8,1.2,0.2,0.04,0.8333333333333333,0.16666666666666666,0.6666666666666667,0.16,0.0,0.0
ambajogai,7542,2.75,51.09129261844427,41.69242274995688,32098.289190981704,16049.144595490843,39,0,148,25,0.0,0.0,0.0,0.0,0.0,0.003183427771770394,0.8820754716981132,0.8758949880668258,0.001962214497384407,9.255728761247202e-06,0.28871994541120105,0.0013618865349584956,0.14071204043696955,0.0006283352391842958,0.0,0.0
ambala,6816,2.728722525202446,460.4493362163166,372.52185183390816,89728.12025037057,46879.38660276154,2311,3,8464,1308,14.0,2.0,0.00024789291026276647,0.0011568335812262437,0.00016526194017517766,0.00982200002141651,0.89056946855112,0.8363162898359029,1.3640512086681054e-05,1.1351012804095078e-09,0.26746236841592697,2.2100674964132124e-05,0.025247852690822692,2.3921797694471893e-06,0.0,0.0
ambalangoda,8908,2.342128408091469,196.27235614552927,128.77676137604647,60552.75673715633,30392.65126893296,391,3,706,37,0.0,0.0,0.002638522427440633,0.0,0.0,0.006457888599740449,0.9673721340388007,0.6486964206805126,9.998561686127014e-05,8.887610387668456e-08,0.33723844372382533,0.00029660373238682967,0.0498896506212444,4.147228322950149e-05,0.0,0.0
ambato,464,2.9031390134529147,1794.911621213714,1486.235115951176,392379.6185718312,229764.7873896628,767,8,2592,1077,15.0,1.0,0.0017937219730941704,0.0033632286995515697,0.0002242152466367713,0.007811952569432176,0.754492362982929,0.7107540173053152,6.177952869485925e-05,1.395201641708655e-08,0.1509866503247697,3.385350904142819e-05,0.03794736751640874,7.371601352426291e-06,0.0,0.0
ambikapur,8739,2.7546583850931676,57.20618730235625,46.54664929570602,34604.47377531193,18930.969436183026,60,2,218,41,1.0,0.0,0.006211180124223602,0.003105590062111801,0.0,0.0030218308415319328,0.86875,0.7858267716535433,0.0013440271726270197,4.1739974305186946e-06,0.275185883909399,0.0008546145463024814,0.12185344779599713,0.00037491327940499745,0.0,0.0
ambo,4977,2.9806996381182147,310.0615263482705,265.9273163252356,92648.60275196414,46324.30137598183,118,0,492,218,1.0,0.0,0.0,0.0012062726176115801,0.0,0.006693280138899857,0.7358262967430639,0.9800362976406534,0.00029618759294157865,3.572829830417113e-07,0.4737962015785431,0.0005715273842925731,0.07063248122437649,7.881273000729018e-05,0.0,0.0
ambon,13030,2.3473053892215567,472.65631222815205,305.6699504229965,86442.78695848292,45682.74981003093,236,0,396,36,0.0,0.0,0.0,0.0,0.0,0.010346494337439536,0.9461077844311377,0.5770097670924117,0.00016172114486010276,2.4765872107213285e-07,0.438899018958989,0.0006570344595194445,0.06047389234019396,8.490607708748055e-05,0.0,0.0
ambur,8393,2.719242902208202,129.8245630754859,106.68548479862486,46480.02084875642,25568.35202002925,113,0,473,48,0.0,0.0,0.0,0.0,0.0,0.005077549111252317,0.9242902208201893,0.8416468725257323,0.0007410495280656754,1.4142166566138844e-06,0.13289207089440394,0.00020960894462839738,0.07069718862079115,0.00012801018425957414,0.0,0.0
amer,6915,2.5075,301.29056548077347,222.20179204207042,87301.59119857749,47461.778534602316,105,1,280,14,0.0,0.0,0.0025,0.0,0.0,0.006348067324554971,0.9649122807017544,0.6960907944514502,0.00048708887755974394,1.2238414009038793e-06,0.294001277329573,0.0007350031933239325,0.08704929517185209,0.00021030744669893911,0.0,0.0
americana,1284,3.2316951850378035,187.92922927016082,177.31006868267062,49280.48271964462,29047.41800644358,568,12,6032,3406,31.0,3.0,0.001193792280143255,0.0030839633903700756,0.0002984480700358138,0.006469739555800537,0.6573705179282868,0.8382067247820673,2.6799304434601492e-05,2.679930443460149e-09,0.16739896316586242,1.6653299160949307e-05,0.027297702370199566,2.4850084239220264e-06,0.0,0.0
