city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop,8way_int_count,8way_int_prop
zaoqiang,10973,3.0589622641509435,35.923475398806026,30.585789195681546,18356.38639157042,12179.68132515205,63,0,212,147,2.0,0.0,0.0047169811320754715,0.002949459385659055,0.6485849056603774,0.6405693950177936,0.0,0.0,0.0,0.0,0.0,0.0
zaoyang,11196,3.0545977011494254,20.113312690012005,17.685843917079524,14631.212404675316,8906.479795452702,42,0,206,97,3.0,0.0,0.008620689655172414,0.0022582785962509083,0.7126436781609196,0.7322720694645442,0.0,0.0,0.0,0.0,0.0,0.0
zaozhuang,11520,3.0311860940695294,44.61091115497645,37.49506029590045,18291.386227027433,12417.218660122133,312,7,1000,599,23.0,0.0035787321063394683,0.011758691206543968,0.003592665344473983,0.6731657260133401,0.6660673002825584,13.0,2.0,0.0066462167689161555,0.0010224948875255625,0.0,0.0
zaporizhzhia,3769,3.0279329608938546,36.228479297386855,31.503632353766953,16752.21370821818,9114.124362937482,677,11,3005,1486,12.0,0.002119052205740705,0.0023116933153534964,0.0039749818912620605,0.7108108108108108,0.881989377112506,0.0,0.0,0.0,0.0,0.0,0.0
zaragoza,1871,3.076443057722309,157.7085112703805,148.18024211690127,31156.921802981997,25690.537618413622,426,58,5170,1356,30.0,0.008225783576797617,0.004254715643171181,0.006138778160770889,0.8002288002288003,0.40290394106287103,11.0,0.0,0.0015600624024961,0.0,0.0,0.0
zarand,5911,2.947622329427981,322.9179820964204,288.2004044209955,82826.3221580875,44973.87807713385,156,1,1059,233,2.0,0.0006891798759476223,0.0013783597518952446,0.007180123127087014,0.8379310344827586,0.8317789291882556,0.0,0.0,0.0,0.0,0.0,0.0
zaranj,5981,3.055312954876274,669.5704790946156,576.9806748530021,244833.25840150836,133968.9070337752,95,0,364,228,0.0,0.0,0.0,0.004997954330744885,0.6681222707423581,0.8261504747991234,0.0,0.0,0.0,0.0,0.0,0.0
zarate,1092,3.348004094165814,154.59587012487162,142.7282240047433,38663.37477449007,24635.037593501325,150,3,826,967,8.0,0.0015353121801432957,0.0040941658137154556,0.0062754468929917,0.5002562788313686,0.7988196048242238,0.0,0.0,0.0,0.0,0.0,0.0
zaraza,892,3.015521064301552,170.4559761155658,146.45607703942738,51379.1494848082,26546.731515859472,127,0,507,268,0.0,0.0,0.0,0.006420977890017551,0.7028824833702882,0.9466370205669816,0.0,0.0,0.0,0.0,0.0,0.0
zaria,2625,2.9156226029148558,217.22276534915645,196.22808232640492,58702.1989896106,30337.696316249057,756,0,6222,836,8.0,0.0,0.0010227563283047815,0.007160160187667598,0.8920992073638455,0.9221817251742439,0.0,0.0,0.0,0.0,0.0,0.0
zarrinshahr,5805,2.895184135977337,178.91788243125816,159.27746332584385,43375.66703600598,27337.971483158963,155,3,1095,153,6.0,0.002124645892351275,0.00424929178470255,0.006544665632615687,0.8871540099361249,0.6196231781016708,0.0,0.0,0.0,0.0,0.0,0.0
zarumilla,424,3.3295763699961136,270.29204996648076,250.3326681189754,74105.3267563258,38190.52441632721,190,1,1167,1202,12.0,0.000388651379712398,0.004663816556548776,0.007077463692824432,0.5276049766718507,1.0897061685152754,1.0,0.0,0.000388651379712398,0.0,0.0,0.0
zawa,4927,2.9738072965388214,398.9172112471274,375.40759075267556,92230.26116125411,49220.96508695586,63,2,905,98,1.0,0.0018709073900841909,0.0009354536950420954,0.008104619861524113,0.9072164948453608,0.9107562235791451,0.0,0.0,0.0,0.0,0.0,0.0
zayyan,3954,3.2732438016528924,509.3715181556452,497.00557737397406,70835.88540834803,40605.26871521054,94,0,2535,1240,3.0,0.0,0.0007747933884297521,0.012544468594166379,0.6789772727272727,0.993926863935909,0.0,0.0,0.0,0.0,0.0,0.0
zdroje,2914,2.658873538788523,110.68467157938603,86.92451891303536,26503.55705872334,15825.380167332634,202,17,629,87,5.0,0.018065887353878853,0.005313496280552604,0.006994124021605853,0.8993506493506493,0.6277807921866522,1.0,0.0,0.0010626992561105207,0.0,0.0,0.0
zelenograd,3657,2.945026178010471,31.389420510053945,27.609542647586718,14802.715613310113,9319.17243324054,92,5,529,130,7.0,0.006544502617801047,0.009162303664921465,0.003368262657968542,0.8181818181818182,0.5941837409120951,1.0,0.0,0.0013089005235602095,0.0,0.0,0.0
zenica,3170,2.518154311649017,167.7297226038164,124.08446952082636,52037.442531252535,28251.069892706077,344,4,920,53,1.0,0.0030257186081694403,0.0007564296520423601,0.005937110461332341,0.9590288315629742,0.5796275180539718,0.0,0.0,0.0,0.0,0.0,0.0
zhanaozen,5649,3.230550284629981,102.38090488970047,94.9014649689159,53249.99461545413,27366.245598339232,77,0,580,397,0.0,0.0,0.0,0.003741138130248807,0.6233396584440227,1.026153114598193,0.0,0.0,0.0,0.0,0.0,0.0
zhangbei,10425,3.217821782178218,18.287589856956927,16.02427428060087,19090.48195528575,11402.154839581148,25,0,84,92,1.0,0.0,0.0049504950495049506,0.0016038713834576127,0.5396039603960396,0.7969924812030075,0.0,0.0,0.0,0.0,0.0,0.0
zhanghua city,12689,2.845568377117604,72.87508761191225,57.577223652132,34778.47755921378,19769.91542317729,855,3,2192,974,39.0,0.0007365578197888534,0.009575251657255094,0.0036861608181933355,0.7486486486486487,0.7872157344806392,9.0,0.0,0.00220967345936656,0.0,1.0,0.00024551927326295114
