city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
wuchuan,11898,2.857566765578635,15.448955682081733,13.065140561997906,12163.812592750664,7252.540529836528,52,0,231,52,2.0,0.0,0.005934718100890208,0.0021301439983031647,0.8397626112759644,0.8236173393124065,0.0,0.0,0.0,0.0,0.0,0.0
wudil,2763,2.6352,152.16818652590197,111.50884708618096,44222.2172890243,22181.705066030765,167,0,354,102,2.0,0.0,0.0032,0.006860076178676341,0.8336,0.8064257028112449,0.0,0.0,0.0,0.0,0.0,0.0
wugang,11172,2.8598130841121496,21.194772261359123,17.530255561965255,15443.029054013783,9101.315594075613,37,2,130,44,1.0,0.009345794392523364,0.004672897196261682,0.002328759182370908,0.7877358490566038,0.7517899761336515,0.0,0.0,0.0,0.0,0.0,0.0
wugang,11419,2.8260869565217392,37.200370195171985,28.574197396291527,22811.26376886468,12838.695680183204,64,1,132,77,2.0,0.0036231884057971015,0.007246376811594203,0.002897519430466098,0.7127272727272728,0.7247706422018348,0.0,0.0,0.0,0.0,0.0,0.0
wugong,10426,2.643171806167401,27.36964624224149,19.653093997732878,24872.316615976804,13097.66246199933,64,1,114,48,0.0,0.004405286343612335,0.0,0.002089658847267589,0.7876106194690266,0.7136465324384788,0.0,0.0,0.0,0.0,0.0,0.0
wuhai,10124,3.393374741200828,33.11096282171036,30.98582856193185,18616.9044197364,13103.732500726257,31,1,200,249,2.0,0.002070393374741201,0.004140786749482402,0.0025268344587983027,0.47925311203319504,0.6631908237747653,0.0,0.0,0.0,0.0,0.0,0.0
wuhan,11549,2.9982792381178425,52.38848328058602,45.88227693712987,25235.984439268548,17531.362202223547,2093,99,10664,3814,134.0,0.005874325045985878,0.007951106627900077,0.00298827225610235,0.7614301062432852,0.6456138256275558,29.0,13.0,7.0,0.0017207618821574793,0.0007713760161395597,0.0004153563163828399
wuhe,11841,3.2526315789473683,18.321164862614438,16.45690598185718,16301.438105324865,11015.52175334998,29,2,127,123,3.0,0.007017543859649123,0.010526315789473684,0.0016632135338521487,0.5512367491166078,0.7219251336898396,1.0,0.0,0.0,0.0035087719298245615,0.0,0.0
wuhu,12088,3.0436071126164266,35.58751586451979,31.188043115815397,21116.098095085687,15564.50008629587,292,18,1355,689,8.0,0.007620660457239628,0.003386960203217612,0.0022864541531824496,0.7026450511945392,0.5720691864189622,0.0,0.0,0.0,0.0,0.0,0.0
wuhu,12156,3.4456521739130435,19.72060084652064,18.291571799671317,17538.011129633604,12556.732545153662,20,0,96,157,3.0,0.0,0.010869565217391304,0.0015705200995247692,0.42028985507246375,0.6617915904936015,0.0,0.0,0.0,0.0,0.0,0.0
wuhua,12378,2.887179487179487,17.186185882588497,14.013351565802928,19396.33352940085,12121.45726849291,36,3,103,53,0.0,0.015384615384615385,0.0,0.0014178316601635222,0.7239583333333334,0.7071240105540897,0.0,0.0,0.0,0.0,0.0,0.0
wuji,10785,3.1130434782608694,56.631919022011786,50.15969970521044,26803.62641453959,15117.915686900345,92,0,446,259,8.0,0.0,0.009937888198757764,0.0037460136830292866,0.6683229813664596,0.9345794392523364,0.0,0.0,0.0,0.0,0.0,0.0
wujiaqu,7010,2.8934426229508197,12.918339436559066,10.165250704177627,13773.989990548716,9474.646654925942,26,1,55,40,0.0,0.00819672131147541,0.0,0.0013634639799303462,0.6694214876033058,0.5147679324894515,0.0,0.0,0.0,0.0,0.0,0.0
wukari,2856,3.0446096654275094,160.29875779475367,148.2316579979367,57090.36430163065,28719.462431443146,81,0,785,210,0.0,0.0,0.0,0.0055815375436572435,0.8048327137546468,0.9799720540288775,0.0,0.0,0.0,0.0,0.0,0.0
wulian,11676,3.219298245614035,13.275698012248455,11.528895642215764,13736.77156354546,7746.634721839761,30,0,91,104,3.0,0.0,0.013157894736842105,0.0017137374471550644,0.5307017543859649,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
wum,2879,2.689655172413793,58.261035154495666,48.216029093375724,36146.219016496434,18164.52375107391,30,0,138,6,0.0,0.0,0.0,0.0032074077995604593,0.9655172413793104,0.7551020408163265,0.0,0.0,0.0,0.0,0.0,0.0
wuming,11361,2.8812260536398466,29.998195362149996,23.331929726116666,20058.711004924342,12374.948533706181,58,0,120,82,0.0,0.0,0.0,0.002424106676520118,0.6819923371647509,0.7911025145067698,1.0,0.0,0.0,0.0038314176245210726,0.0,0.0
wuming,11541,2.627450980392157,20.22396110516329,15.465382021595458,31775.928532903024,16069.097993074487,24,0,68,10,0.0,0.0,0.0,0.0012585623109573096,0.9019607843137255,0.7035175879396985,0.0,0.0,0.0,0.0,0.0,0.0
wundwin,10168,2.713888888888889,219.80397341726612,164.85298006294957,63265.639148956834,31632.819574478483,180,0,386,154,0.0,0.0,0.0,0.0069486051630568224,0.7861111111111111,0.8369337979094077,0.0,0.0,0.0,0.0,0.0,0.0
wuping,12345,3.0,26.087452192547584,23.417083070475783,25535.792960399318,14021.727424279597,13,0,89,24,1.0,0.0,0.007874015748031496,0.001860502019699466,0.8031496062992126,0.8875502008032129,0.0,0.0,0.0,0.0,0.0,0.0
