city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
yunhe,12487,3.01673640167364,30.885871983850983,25.845917978117978,22545.391280031756,12755.287214604476,39,0,119,80,1.0,0.0,0.0041841004184100415,0.0024214172103069116,0.6610878661087866,0.8921775898520085,0.0,0.0
yunmeng,11458,3.1094890510948905,11.999516527462074,10.160174577997084,14617.74735748776,10239.109937758376,21,2,58,53,3.0,0.014598540145985401,0.021897810218978103,0.00117192965017515,0.5851851851851851,0.6490566037735849,0.0,0.0
yunxi,10795,2.8548387096774195,12.874827533156918,10.590583938564562,22149.239241833246,12072.676147457685,11,0,38,13,0.0,0.0,0.0,0.001066443543743046,0.7903225806451613,0.8823529411764706,0.0,0.0
yunxiao,12518,3.030054644808743,87.29723620071495,78.71062280392331,35240.52945973262,19044.7775716925,72,0,495,164,1.0,0.0,0.001366120218579235,0.004583788698612609,0.7745901639344263,0.9211788896504455,0.0,0.0
yunyang,10759,2.8434782608695652,65.20917445282635,53.112400061577404,42576.619332432936,28030.22393340728,64,2,206,71,1.0,0.005797101449275362,0.002898550724637681,0.00232638792354092,0.7871720116618076,0.5844346549192364,1.0,0.002898550724637681
yunyang,10864,2.869047619047619,12.171757003711464,10.143130836426222,14659.914090994267,8189.688163134214,14,0,53,17,0.0,0.0,0.0,0.0014862296049930799,0.7976190476190477,0.6809815950920245,0.0,0.0
yunzhou,10432,2.869565217391304,31.874409483486225,26.331033921140797,39600.87720979453,26848.48031300793,8,2,24,12,0.0,0.043478260869565216,0.0,0.0011871960391010758,0.7272727272727273,0.6385542168674698,0.0,0.0
yurga,6051,2.7954070981210855,45.69173908238304,37.96516107471493,22847.153583988595,11938.349225006974,81,0,335,62,1.0,0.0,0.0020876826722338203,0.0038273079653821525,0.8684759916492694,0.770199370409234,0.0,0.0
yurimaguas,536,3.128205128205128,200.39834685732401,177.48956147940345,53518.2439885005,26962.212337490415,107,0,497,330,2.0,0.0,0.002136752136752137,0.007432563186911563,0.6452991452991453,1.0305302624531334,0.0,0.0
yushan,12332,3.102766798418972,51.05862268798409,43.28883227894303,32027.197759148123,19766.6729299849,77,0,226,200,3.0,0.0,0.005928853754940711,0.0025830660965979317,0.5988142292490118,0.7189672293942403,0.0,0.0
yushe,10677,2.8552631578947367,18.07119948342292,14.742294315423962,20347.517915142347,12043.7161520909,14,0,46,15,1.0,0.0,0.013157894736842105,0.001500467069732924,0.7894736842105263,0.7074829931972789,0.0,0.0
yushu,11273,2.94672131147541,15.07890778520729,12.606955689271668,12488.42978859012,7300.176160176958,40,1,135,68,0.0,0.004098360655737705,0.0,0.002065553961213146,0.720164609053498,0.7733887733887734,0.0,0.0
yutian,10917,3.1574074074074074,11.022475994777237,9.440546569600874,10812.928826300127,7280.502719983205,31,0,94,86,5.0,0.0,0.023148148148148147,0.0015139718256712174,0.5787037037037037,0.6721311475409836,0.0,0.0
yuxi,10503,2.9098497495826376,49.49429768773022,41.396733124462166,23402.59810048767,14967.110352160491,294,4,1073,422,4.0,0.0022259321090706734,0.0022259321090706734,0.0033068706332205103,0.762409369771333,0.700083775481709,0.0,0.0
yuxia,10490,2.9066666666666667,27.419017997028828,21.021247131055436,24642.959412639764,12441.526199294842,35,0,59,56,0.0,0.0,0.0,0.0022038307485606453,0.6266666666666667,0.8576271186440678,0.0,0.0
yuxian,10559,2.6542217116599653,166.58750372992145,124.39043931585174,41066.56745423021,22481.212028336475,441,0,1023,274,3.0,0.0,0.0017231476163124641,0.0074100766239803256,0.8408960367604825,0.7681909692263446,0.0,0.0
yuzhno sakhalinsk,12643,2.685789938217123,39.73283129707953,29.457703697746513,19865.543630372955,10115.55069454065,293,1,609,229,1.0,0.00088261253309797,0.00088261253309797,0.003927896018406915,0.7968197879858657,0.7773351040283312,0.0,0.0
yuzhong,10145,2.873913043478261,101.92559934595353,79.76786035770277,57987.38036293034,33873.2402074388,50,0,111,67,2.0,0.0,0.008695652173913044,0.0030090300993280816,0.7,0.676923076923077,0.0,0.0
yuzhou,11072,2.9511568123393315,9.005804041699756,7.061105996705465,10546.886003607782,7536.003643863289,84,0,156,149,0.0,0.0,0.0,0.0011950371134750385,0.6169665809768637,0.5304010349288486,0.0,0.0
zabol,5972,2.568839726994587,370.27056448403465,272.14755775091555,63561.43932054044,34659.581839146485,1126,2,2701,418,2.0,0.0004706989879971758,0.0004706989879971758,0.01068306496605883,0.9011066635271957,0.669101189775003,0.0,0.0
