city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
astrakhan,5066,2.8841254622654433,73.32722056485262,61.536211532783454,28187.517183526936,14623.72387724319,1174,8,4621,1486,12.0,0.0010957403095466374,0.0016436104643199562,0.005014264573127046,0.7945975593034417,0.8733283039572046,0.0,0.0,0.0,0.0,0.0,0.0
aswan,4287,2.8812253979120315,706.0601127747233,626.3066172362469,117900.95043904897,63576.649956443616,660,2,4553,628,0.0,0.0003422899195618689,0.0,0.011105651418538807,0.8924841636706043,0.8532157232165796,0.0,0.0,0.0,0.0,0.0,0.0
asyut,4027,2.589755172102268,579.3032274547983,439.51472618713484,114802.81053075728,60525.84001201391,2671,5,7592,796,5.0,0.0004517119884361731,0.0004517119884361731,0.009571172037262283,0.9276030368763557,0.7427112055327035,0.0,0.0,0.0,0.0,0.0,0.0
as safirah,4456,2.802919708029197,98.99361904054155,83.6387693718444,34422.12769024381,19004.44362831369,85,0,403,58,2.0,0.0,0.0036496350364963502,0.005208972226530027,0.8905109489051095,0.7332722273143905,0.0,0.0,0.0,0.0,0.0,0.0
as samawah,5466,2.9682349415642793,277.0010996604399,257.8260160459473,68058.13614320851,38426.78339229682,231,0,2755,346,5.0,0.0,0.0014983518130056938,0.0072085424593714125,0.8948157027270003,0.844804318488529,0.0,0.0,0.0,0.0,0.0,0.0
as suwayda,4466,3.110718492343934,128.46343755202193,121.73007716207498,40605.98142065579,21942.73763301895,89,3,1243,357,6.0,0.0017667844522968198,0.0035335689045936395,0.005854485420210875,0.7858407079646018,0.8983751846381093,0.0,0.0,0.0,0.0,0.0,0.0
as suwayrah,5398,3.063644289450741,387.9468084468754,366.97671069299025,97609.52450005831,50836.81224332783,62,0,888,197,0.0,0.0,0.0,0.007631218231977009,0.8282476024411508,0.9375273044997816,0.0,0.0,0.0,0.0,0.0,0.0
ata,2536,2.8646362098138747,474.1226996750464,417.9660347389157,280344.73310512124,140172.36655256076,70,0,464,55,1.0,0.0,0.001692047377326565,0.0033824263036699425,0.9035532994923858,0.8887000849617672,1.0,0.001692047377326565,0.0,0.0,0.0,0.0
atakpame,2019,2.2186666666666666,119.39639561753846,67.18037193413497,30193.230041226794,15303.377340796178,328,4,344,74,0.0,0.005333333333333333,0.0,0.007801963773006378,0.900804289544236,0.5837256220578345,0.0,0.0,0.0,0.0,0.0,0.0
atambua,13006,2.774447949526814,433.8142150765304,366.0735095677346,146793.954197162,77021.05899858166,99,0,480,55,0.0,0.0,0.0,0.00563241041757838,0.9132492113564669,0.7458432304038005,0.0,0.0,0.0,0.0,0.0,0.0
atarra buzurg,7937,2.0,36.30633015025835,17.662538992017577,39148.01287358874,19574.00643679437,19,0,17,1,0.0,0.0,0.0,0.0018548236543956215,0.972972972972973,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0
atascocita,331,2.752517223105458,82.6884532209342,64.0649277207238,27042.80675344779,15010.966538164132,425,7,1076,368,11.0,0.0037095919448860626,0.005829358770535241,0.005508536243199644,0.7984042553191489,0.7051930758988016,0.0,0.0,0.0,0.0,0.0,0.0
atbara,4481,3.3224282715185445,428.68017216918895,421.405508645674,103019.7943295922,52290.67656374803,97,2,3578,2039,0.0,0.0003498950314905528,0.0,0.008198023057639753,0.6431571578578928,1.1225597478770901,0.0,0.0,0.0,0.0,0.0,0.0
atebubu,1853,3.009950248756219,136.0767704749087,129.30678189406748,50528.92546722669,25264.462733613313,30,0,507,66,0.0,0.0,0.0,0.005386093973566445,0.8905472636815921,0.9641965029142381,0.0,0.0,0.0,0.0,0.0,0.0
athani,7399,2.5445544554455446,66.7675377696865,47.596660588291364,54081.42530200039,27040.7126510002,29,0,60,12,0.0,0.0,0.0,0.002469148599425572,0.8811881188118812,0.7715736040609137,0.0,0.0,0.0,0.0,0.0,0.0
atherton,1776,2.2999141630901287,253.24102378736956,159.2049148685575,38165.646675654985,19746.494306084434,2163,6,3404,250,2.0,0.0010300429184549357,0.00034334763948497857,0.01282460673079267,0.9566935899639113,0.5865211037565546,0.0,0.0,0.0,0.0,0.0,0.0
atibaia,1315,3.0610778443113773,213.11384257556804,193.88680528132517,60809.58183017582,34047.17417440713,226,0,1679,595,5.0,0.0,0.001996007984031936,0.006259369470249993,0.7604790419161677,0.810989010989011,0.0,0.0,0.0,0.0,0.0,0.0
atlantic city,918,3.140655105973025,108.88476709950498,92.81429858347015,30498.236398462486,18336.709328265337,383,21,1066,1106,14.0,0.008092485549132947,0.005394990366088632,0.005938075646520899,0.5629370629370629,0.8391989111413571,3.0,0.0011560693641618498,1.0,1.0,0.0003853564547206166,0.0003853564547206166
atlantis,3276,2.6972555746140654,578.7924671845367,460.1549031561454,162916.0117778669,82304.97186831947,239,0,802,125,0.0,0.0,0.0,0.007032290444258367,0.8927958833619211,0.7941555651052857,0.0,0.0,0.0,0.0,0.0,0.0
atlixco,172,2.9012106537530267,226.58769914501048,181.81879781272752,50095.35971386853,29445.168173997186,408,6,1056,572,23.0,0.0029055690072639223,0.011138014527845037,0.007695242146557289,0.7110247693054881,0.7349866277656212,0.0,0.0,0.0,0.0,0.0,0.0
