city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop
jilin,11415,3.290840415486308,16.56019543629768,15.35610190599086,8682.529724928545,6585.447648363279,154,7,1061,864,29.0,3.0,0.0033050047214353163,0.013692162417374882,0.00141643059490085,0.002514665110186319,0.5755566082425391,0.5914156983637657,0.0,0.0
jilong,12353,2.5194805194805197,17.11537128098522,10.891599906081504,18217.6985490472,11778.097452184158,28,0,30,19,0.0,0.0,0.0,0.0,0.0,0.001453152459509605,0.7532467532467533,0.5503355704697986,0.0,0.0
jimeta,3008,2.9486527707168277,303.12494807593504,270.53169616029686,85765.80380367895,45552.97573391491,423,0,2874,630,7.0,0.0,0.0,0.0017793594306049821,0.0,0.006654339111599546,0.8380782918149466,0.8682436728983849,0.0,0.0
jimma,4801,2.953131480713397,810.4379900917022,738.8397769479724,205666.36272844413,104690.3805244894,213,0,1885,313,0.0,0.0,0.0,0.0,0.0,0.007741284213807235,0.8701783492326836,0.9194519410421425,0.0,0.0
jinan,11223,3.054106846371716,33.22464663017974,28.860240954079362,17152.883688519203,11652.778175775342,1345,44,5707,3008,126.0,8.0,0.004297294657681414,0.012305889246996778,0.0007813263013966208,0.0028512210675433257,0.6917116233447769,0.6898209467745892,1.0,9.76657876745776e-05
jinchang,10057,3.0,29.187430116786853,26.05659851256404,25888.939753304618,13443.264322855839,31,0,197,60,1.0,0.0,0.0,0.0034602076124567475,0.0,0.002171156455442392,0.7889273356401384,0.8900523560209425,0.0,0.0
jincheng,10833,3.340220385674931,18.842662495169588,17.467096224861066,11394.581840964795,9484.554271832387,53,1,318,354,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0019866682139327613,0.5117241379310344,0.47889273356401385,0.0,0.0
jinchengjiang,11214,2.90990990990991,40.21028349060823,34.0519517848394,23931.6986732121,14505.42627098547,51,0,213,66,3.0,0.0,0.0,0.009009009009009009,0.0,0.002772085613991158,0.7927927927927928,0.7231467473524962,0.0,0.0
jind,6824,2.851181102362205,145.470819080018,126.4565230427873,43224.67961007017,23054.529830949556,166,2,957,145,0.0,0.0,0.0015748031496062992,0.0,0.0,0.006309858415968678,0.8856466876971609,0.8613196365073094,0.0,0.0
jinfeng,12318,2.858267716535433,12.499069814426539,9.841787255453967,14730.259969186172,8344.494944365028,27,1,63,35,1.0,0.0,0.007874015748031496,0.007874015748031496,0.0,0.0014978821244139003,0.7142857142857143,0.7368421052631579,0.0,0.0
jing,11025,3.105105105105105,36.84133977558766,32.08404965441568,19766.58526050444,13401.806254215173,43,0,171,117,2.0,0.0,0.0,0.006006006006006006,0.0,0.002748983165161056,0.6426426426426426,0.6384266263237519,0.0,0.0
jingbian,10280,3.084507042253521,16.813409191867375,13.971706229861622,14442.703576873515,10700.555722830542,36,1,86,89,1.0,0.0,0.004694835680751174,0.004694835680751174,0.0,0.001571265047103539,0.5754716981132075,0.48687350835322196,0.0,0.0
jingdezhen,12147,2.6836917562724016,29.260303172109648,21.787913921167668,18608.577945963083,11107.212185327022,285,4,614,206,6.0,1.0,0.0035842293906810036,0.005376344086021506,0.0008960573476702509,0.0026343516882448175,0.8084532374100719,0.6430824695808923,0.0,0.0
jinggu,10370,2.986754966887417,57.05845091154089,48.367428587266446,33307.1066653885,20311.634858624224,23,0,85,42,1.0,0.0,0.0,0.006622516556291391,0.0,0.0028091510756611563,0.7152317880794702,0.6734006734006734,0.0,0.0
jinghai,10937,3.0631578947368423,16.748798753889222,13.869180722518795,15613.94616544646,10557.268437972112,49,1,121,111,3.0,0.0,0.0035087719298245615,0.010526315789473684,0.0,0.001586470861501217,0.5985915492957746,0.6518650088809946,0.0,0.0
jinghong,10429,2.8486997635933804,58.91414733356397,47.35416097733274,23824.825888746454,14630.045749635878,83,3,239,91,7.0,0.0,0.0070921985815602835,0.016548463356973995,0.0,0.004026928441767194,0.7666666666666667,0.665868263473054,0.0,0.0
jingjiang,12272,3.1766169154228856,22.312302914243016,19.34287951645197,15997.197677013151,10965.260436648901,107,2,344,344,7.0,0.0,0.0024875621890547263,0.008706467661691543,0.0,0.0020348174166177754,0.5623441396508728,0.6460287679799875,0.0,0.0
jingkou,10596,2.300578034682081,35.418186951323165,21.701316860348296,27342.934297218035,14641.61356582777,67,0,93,13,0.0,0.0,0.0,0.0,0.0,0.0024190084509528426,0.9248554913294798,0.5747800586510264,0.0,0.0
jingle,10438,2.7096774193548385,23.066277819545473,17.857763473196496,21582.22673991793,10791.113369958965,21,0,57,15,0.0,0.0,0.0,0.0,0.0,0.002137525297784281,0.8387096774193549,0.861878453038674,0.0,0.0
jingmen,11229,3.0165165165165164,17.174597187945057,14.41531505714908,15022.849438589254,10441.015326236797,107,8,321,227,3.0,0.0,0.012012012012012012,0.0045045045045045045,0.0,0.001644916385170676,0.6504559270516718,0.6102212051868803,0.0,0.0
