city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop
shaikhpura,9134,2.1176470588235294,15.786639649749835,7.429006893999923,52297.17935619843,26148.58967809921,9,0,5,3.0,0.0,0.0006037281491694353,0.8235294117647058,0.6896551724137931,0.0,0.0,0.0,0.0
shajapur,7241,1.75,4.187738411373853,1.5704019042651949,14389.777956206683,7194.888978103342,5,0,3,0.0,0.0,0.0005820435067335521,1.0,0.6363636363636364,0.0,0.0,0.0,0.0
shakar garh,6551,2.4234972677595628,126.68567089653656,84.80324964385645,57429.827795222256,29878.226704100616,121,0,214,31.0,0.0,0.004240066592678664,0.9153005464480874,0.6616231086657497,0.0,0.0,0.0,0.0
shakhty,4307,3.039375928677563,65.90948914544443,58.221680976176394,27962.00281160926,14477.913206606,314,4,1650,711.0,0.0014858841010401188,0.004552416374161655,0.7306547619047619,0.9346490411469001,12.0,1.0,0.004457652303120356,0.0003714710252600297
shamakhi,5457,2.720969089390142,374.7976654157455,285.87324020432385,88887.47085046282,44624.033767831825,284,0,683,226.0,0.0,0.008399009093748184,0.8078529657477026,0.8258685642528254,4.0,0.0,0.003341687552213868,0.0
shamirpet,8088,2.6278755074424898,1056.0930711234548,796.714326321145,236821.9101313032,129557.5315428018,363,1,937,177.0,0.0006765899864682003,0.00815153745635046,0.8801624915368991,0.7371990505256019,0.0,0.0,0.0,0.0
shamli,6974,2.8333333333333335,26.190221167978322,21.03154124095229,17882.487777301445,8941.243888650724,26,0,76,30.0,0.0,0.002929147386441614,0.7727272727272727,0.9305019305019305,0.0,0.0,0.0,0.0
shamma,3858,2.697732997481108,365.8052406413457,301.30557604463485,162383.95384791106,81191.9769239556,140,0,614,40.0,0.0,0.004505435813983921,0.9496221662468514,0.802905874921036,0.0,0.0,0.0,0.0
shamsabad,7324,2.357142857142857,22.065972536032554,13.397197611162621,41886.767041623505,20943.383520811753,11,0,13,4.0,0.0,0.001053601129641028,0.8571428571428571,0.7647058823529411,0.0,0.0,0.0,0.0
shancheng,10962,2.891156462585034,38.43251155904669,32.593558555744806,20879.873188107882,13533.450236149574,67,0,289,84.0,0.0,0.0028398162248669256,0.8072562358276644,0.6704675028506272,1.0,0.0,0.0022675736961451248,0.0
shangcai,11284,3.034229828850856,23.40822588692649,19.34469523173876,22636.44929639994,14134.61834050978,71,2,184,147.0,0.004889975550122249,0.0016560918252627008,0.6265356265356266,0.7478368355995055,4.0,1.0,0.009779951100244499,0.0024449877750611247
shangcheng,11616,2.793103448275862,24.043235707515347,18.90295772866724,18671.810371776064,11946.461020351842,31,1,81,31.0,0.006896551724137931,0.00201258227575142,0.7777777777777778,0.5971731448763251,1.0,0.0,0.006896551724137931,0.0
shangdang,10800,3.1,10.033555192627071,9.030199673364365,12625.814645864937,7352.526535437163,6,0,36,18.0,0.0,0.0013646404598838353,0.7,0.6869565217391305,0.0,0.0,0.0,0.0
shangdu,10320,2.967611336032389,70.34425308404774,58.6676766611896,34852.64829123075,17789.797600410686,82,0,265,146.0,0.0,0.003954190748208614,0.7024291497975709,0.9420142421159715,1.0,0.0,0.0020242914979757085,0.0
shanggao,11942,3.0,12.645831198584553,10.583036038531754,14723.23767487648,8829.107771817706,23,2,69,46.0,0.014184397163120567,0.0014322886893452283,0.6618705035971223,0.8278388278388278,1.0,0.0,0.0070921985815602835,0.0
shanghang,12377,2.7934272300469485,26.103326058337196,20.711089689478808,16925.66267407031,9800.27575068224,44,0,126,42.0,0.0,0.0026635297538969787,0.7981220657276995,0.6603325415676959,1.0,0.0,0.004694835680751174,0.0
shanghe,11184,3.3625730994152048,15.071716750098036,13.74963633342277,15716.780497987096,10083.871791483785,15,3,59,93.0,0.017543859649122806,0.0014946358959885503,0.44047619047619047,0.8126888217522659,1.0,0.0,0.005847953216374269,0.0
shangli,11811,2.5526315789473686,7.095468563804713,4.387987138142388,11036.079967060648,6272.048493033737,29,0,24,22.0,0.0,0.0011312840727691336,0.6973684210526315,0.6598639455782312,1.0,0.0,0.013157894736842105,0.0
shangluo,10648,2.9734848484848486,27.00771321237245,23.1202393408946,20613.158950057074,14425.74586852899,38,4,153,67.0,0.015151515151515152,0.0018721883401046258,0.7346153846153847,0.6330097087378641,0.0,2.0,0.0,0.007575757575757576
shangnan,10794,2.9358974358974357,19.922649949337053,17.113045469302342,24177.85161560205,12088.925807801026,11,0,50,17.0,0.0,0.0016480082900732916,0.782051282051282,0.9735099337748344,0.0,0.0,0.0,0.0
