city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_count,10way_int_prop,11way_int_count,11way_int_prop,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop
6th of october,3881,3.074547390841321,134.8382262335875,129.9559049429145,29758.680897716746,22894.690588508667,136,5,3061,551.0,3.0,0.0,0.0013312034078807,0.0007987220447284,0.0,0.0058894976419233,0.8523060517195414,0.5308790182739762,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9th,4032,3.1236263736263736,50.46965199455614,49.63773465398653,21212.274382603337,19026.13038219559,6,1,299,58.0,0.0,0.0,0.0027472527472527,0.0,0.0,0.0026526493291449,0.8402203856749312,0.421636615811373,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aachen,2245,2.6563565513882126,99.80870865336642,78.02872741775603,30088.45959078068,17058.82877518437,896,89,2670,434.0,15.0,2.0,0.0216755966877739,0.0036531904529956,0.0004870920603994,0.0058508535356518,0.8877271595718198,0.6870095902353966,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aalborg,2486,2.5479553903345726,143.88908519229247,101.02547170997882,33429.217756793354,19072.7966471615,1202,31,2240,519.0,37.0,6.0,0.0076827757125154,0.0091697645600991,0.0014869888475836,0.0075442048617294,0.8596403596403597,0.6120204923153817,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aarhus,2518,2.6205610507540134,141.9144030682145,104.05982336216412,33875.79025067311,19395.06646536884,1645,57,3536,864.0,53.0,11.0,0.0092427436354791,0.0085941300470244,0.0017836873682503,0.0073170361814233,0.8479541734860884,0.6311911584117887,1.0,,,0.0001621533971136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aba,2574,2.644582338902148,294.9929822621815,229.883314005364,73776.44968264969,37835.71710978086,2312,2,7259,901.0,1.0,0.0,0.0001909307875894,9.54653937947494e-05,0.0,0.0077966800895105,0.913873770648334,0.7822931092115945,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abadan,5708,2.907145515444734,312.02452231856,267.0265683183955,66795.9344672175,39148.210864428685,775,10,3540,1038.0,10.0,1.0,0.0018608113137327,0.0018608113137327,0.0001860811313732,0.0079703392678431,0.8044369873228934,0.7565047095029376,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abadeh,5847,2.5249813571961224,445.8759298131326,323.6839803676992,67271.52126819876,38138.63654590198,735,3,1751,188.0,4.0,1.0,0.0011185682326621,0.0014914243102162,0.000372856077554,0.0116909247470474,0.9279581933557296,0.6181580422193163,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abaetetuba,1157,3.07397504456328,207.0951327895529,177.00911973723822,61237.78140265829,31642.318947393964,163,0,550,409.0,0.0,0.0,0.0,0.0,0.0,0.0065448784943307,0.6354723707664884,0.9615899955337204,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abakaliki,2698,2.8604832424006235,966.4630784353086,836.8982697908245,291418.37210392347,159874.35404109958,172,0,947,163.0,1.0,0.0,0.0,0.0007794232268121,0.0,0.0060451414126549,0.8721745908028059,0.7746973838344396,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abakan,6376,3.029268292682927,48.650160667365625,41.9374555717988,23350.355040258102,12509.192835321885,198,2,803,426.0,4.0,2.0,0.0013937282229965,0.002787456445993,0.0013937282229965,0.003889152666189,0.6985345429169574,0.9213561691716184,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
