country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area
indonesia,IDN,wates,12375,0.0366898366898366,0.0386295386295386,0.0042758681255412,0.0043590840034574,1.0654033249696546,11.0,18.856674856674857,17.0,65.0,7.840516778923989,0.0201503712871287,0.012,1011,947,947,2.647010647010647,145.73129826732674,107.79149999999998,235501.778,1616,1221,3.266903611491891,0.2674315013694426,0.0022479833320931,0.0843570843570843,0.7436527436527437,0.171990171990172,0.0006188118811881,0.9386116755628507,Wates,Asia,South-Eastern Asia,107046,28.0,4.71789598465
brazil,BRA,taquaralto,1186,0.0245199217737565,0.0350156688108197,0.0011948341592017,0.0014388225222071,1.0082764847728969,18.0,264.8490846115784,266.0,76.0,13.58750464866492,0.0236816491010539,0.014,1933,1481,1567,3.1924789708065315,111.04490018598884,77.0395,358230.848,3226,2021,2.941453514041214,0.499042612935618,0.0018795333615415,0.3666501731815932,0.5893122216724394,0.0435428005937654,0.0,0.991791453140196,Taquaralto,Latin America and the Caribbean,South America,90077,20.0,9.62035942078
china,CHN,xinqiao,12218,0.0364807356692173,0.0457242582897033,0.0016083923601314,0.0017232175768543,1.0165439262355234,2.0,5.141361256544503,5.0,12.0,2.005482310311585,0.0102246998284734,0.003,334,282,284,3.0523560209424083,360.8925814751286,257.614,210400.375,583,382,2.747562735212292,0.6161702676605731,0.0065535221802361,0.3743455497382199,0.4869109947643979,0.1256544502617801,0.0,0.983725320855746,Xinqiao; Jiepai; Baqiao; Houxiang,Asia,Eastern Asia,104714,42.0,22.057975769
colombia,COL,yopal,687,0.0161104974519608,0.0194136486819413,0.001072151588579,0.0012214413439126,1.0111058412364538,16.0,328.3082039911308,327.0,79.0,11.914962988647892,0.0156980220791168,0.008,2554,2098,2143,3.21359940872136,71.50871343146275,52.393,310919.88600000006,4348,2706,2.9414524439689416,0.4990433023318437,0.0012947729231863,0.3518107908351811,0.5831485587583148,0.0561714708056171,0.0004599816007359,0.9890161437274728,Yopal,Latin America and the Caribbean,South America,167421,16.0,5.6457324028
czech_republic,CZE,pilsen,2886,0.0329126223559729,0.0442983934389392,0.0014176249495058,0.0017580248068045,1.0473107578042704,24.0,339.5402763734412,338.0,113.0,19.81593432553685,0.0317126582278481,0.018,2224,1935,1945,2.662622177283452,115.12470784810128,87.255,454742.596,3950,2967,3.549904554643247,0.0303630846232014,0.0011843896095641,0.18773171553758,0.5369059656218402,0.2504213009774182,0.0010126582278481,0.9548264376626292,Pilsen,Europe,Eastern Europe,142248,53.0,28.1243553162
myanmar,MMR,myan_aung,10180,0.0516934046345811,0.0516934046345811,0.0027980727961613,0.0027980727961613,1.058510457824633,4.0,27.299465240641712,27.0,29.0,4.125210940532958,0.0138145161290322,0.007,140,132,132,2.6524064171122994,175.61575403225805,121.992,43552.707,248,187,3.396501576436304,0.1629859298711358,0.0145412768463568,0.1925133689839572,0.5561497326203209,0.2513368983957219,0.0,0.9447237791633358,Myan Aung,Asia,South-Eastern Asia,85852,8.0,1.08561098576
india,IND,hansi,6777,0.0253790087463556,0.0326530612244897,0.0018666924784261,0.0022622843693906,1.0378813064585777,2.0,218.00340136054425,218.0,16.0,2.242162381614488,0.0127589498806682,0.006,252,222,222,2.8503401360544216,208.1258233890215,117.991,87204.72,419,294,3.464417312903436,0.1054727368458796,0.0090087246815575,0.1530612244897959,0.6938775510204082,0.1428571428571428,0.0,0.9635013115441544,Hansi,Asia,South-Central Asia,171061,17.0,3.5544500351
iran,IRN,malayer,5650,0.0157176708430324,0.0183140469302475,0.000734921151194,0.0007920829791797,1.023235182059127,22.0,1758.0568948891032,1751.0,134.0,23.085077510521565,0.0240965743440233,0.007,3210,2508,2567,2.6460945033751204,75.46565123906706,52.2415,414155.494,5488,4148,3.465192211892285,0.1048055024968899,0.0009101854633551,0.1123432979749276,0.6581485053037609,0.2261330761812922,0.0001822157434402,0.9772924324079932,Malayer,Asia,South-Central Asia,175523,21.0,11.103969574
nigeria,NGA,ishara,2178,0.0406697638404955,0.0441347270615563,0.0008689046445146,0.000886799291258,1.0561074957649823,19.0,133.28571428571428,136.0,100.0,19.406595447008574,0.0444746666666666,0.022,697,596,596,2.6132404181184667,112.17371644444442,83.19800000000001,126195.43099999998,1125,861,3.5602161440426023,0.0210986396881041,0.0032249894581159,0.0452961672473867,0.7642276422764228,0.1904761904761904,0.0008888888888888,0.946873309781462,Ishara,Africa,Western Africa,69004,15.0,2.90999507904
iraq,IRQ,al_aziziyah,5420,0.0228120243531202,0.0241628614916286,0.0009249344638872,0.0009428086706701,1.0229776048752997,1.0,28.29680365296804,28.0,9.0,1.2894433129857954,0.0078630030959752,0.0,811,702,709,2.949771689497717,102.32058436532508,63.083,132198.195,1292,876,3.205636744401708,0.3143855260090924,0.0038146173035971,0.1255707762557077,0.8002283105022832,0.0742009132420091,0.0,0.9775385064484372,Al ‘Azīzīyah,Asia,Western Asia,70008,10.0,2.69505786896
